test	taille	tri	tableau	exectime	memory
1	579960	fusion	decroissant	0.12 10416
1	579960	fusion	croissant	0.14 10436
2	674550	fusion	croissant	0.14 11916
1	579960	fusion	aleatoire	0.17 10316
2	674550	fusion	decroissant	0.15 11920
3	947340	fusion	croissant	0.16 16080
2	674550	fusion	aleatoire	0.20 11896
3	947340	fusion	decroissant	0.14 16180
4	903030	fusion	croissant	0.20 15396
3	947340	fusion	aleatoire	0.26 16112
5	127230	fusion	croissant	0.02 3340
4	903030	fusion	decroissant	0.14 15396
4	903030	fusion	aleatoire	0.21 15392
5	127230	fusion	decroissant	0.02 3292
5	127230	fusion	aleatoire	0.03 3244
6	732240	fusion	decroissant	0.14 12764
6	732240	fusion	croissant	0.17 12824
6	732240	fusion	aleatoire	0.19 12824
7	235410	fusion	croissant	0.04 5032
7	235410	fusion	decroissant	0.04 4952
7	235410	fusion	aleatoire	0.06 5052
8	256260	fusion	croissant	0.04 5356
8	256260	fusion	decroissant	0.04 5268
8	256260	fusion	aleatoire	0.07 5360
9	492150	fusion	croissant	0.09 8968
9	492150	fusion	decroissant	0.11 8952
9	492150	fusion	aleatoire	0.15 8988
10	561720	fusion	decroissant	0.12 10152
10	561720	fusion	croissant	0.14 10080
10	561720	fusion	aleatoire	0.15 10076
11	852300	fusion	decroissant	0.15 14692
11	852300	fusion	croissant	0.19 14696
12	820560	fusion	croissant	0.20 14108
12	820560	fusion	decroissant	0.20 14104
11	852300	fusion	aleatoire	0.28 14604
12	820560	fusion	aleatoire	0.24 14128
13	457530	fusion	decroissant	0.09 8412
13	457530	fusion	croissant	0.11 8428
13	457530	fusion	aleatoire	0.13 8528
14	770130	fusion	croissant	0.14 13296
15	337410	fusion	croissant	0.08 6572
14	770130	fusion	decroissant	0.13 13416
14	770130	fusion	aleatoire	0.19 13336
15	337410	fusion	decroissant	0.07 6628
15	337410	fusion	aleatoire	0.08 6556
16	736230	fusion	croissant	0.13 12824
16	736230	fusion	decroissant	0.16 12784
17	721410	fusion	decroissant	0.14 12580
17	721410	fusion	croissant	0.19 12580
16	736230	fusion	aleatoire	0.25 12780
18	405510	fusion	croissant	0.11 7616
18	405510	fusion	decroissant	0.09 7624
18	405510	fusion	aleatoire	0.11 7620
17	721410	fusion	aleatoire	0.21 12648
19	761820	fusion	decroissant	0.16 13204
19	761820	fusion	croissant	0.17 13224
19	761820	fusion	aleatoire	0.22 13184
20	196470	fusion	croissant	0.04 4368
20	196470	fusion	decroissant	0.04 4444
20	196470	fusion	aleatoire	0.05 4448
21	514050	fusion	croissant	0.08 9292
21	514050	fusion	decroissant	0.10 9356
22	432480	fusion	croissant	0.08 8112
21	514050	fusion	aleatoire	0.14 9392
23	113850	fusion	croissant	0.02 3084
23	113850	fusion	decroissant	0.02 3068
22	432480	fusion	decroissant	0.07 7944
22	432480	fusion	aleatoire	0.11 8040
23	113850	fusion	aleatoire	0.03 3056
24	764010	fusion	croissant	0.14 13212
24	764010	fusion	decroissant	0.12 13224
25	667830	fusion	croissant	0.12 11688
25	667830	fusion	decroissant	0.14 11620
24	764010	fusion	aleatoire	0.20 13224
26	487380	fusion	croissant	0.09 8936
