test	taille	tri	tableau	exe	exectime	memory
64	3810000	insertion	croissant	nonOpti	0.13 31012
50	17128000	insertion	croissant	nonOpti	0.58 135004
67	1733000	insertion	croissant	nonOpti	0.06 14764
67	1733000	insertion	croissant	opti	0.04 14724
53	22373000	insertion	croissant	opti	0.62 176020
58	15714000	insertion	croissant	opti	0.44 123908
49	22250000	insertion	croissant	nonOpti	0.73 175016
51	22631000	insertion	croissant	nonOpti	0.77 178040
68	5372000	insertion	croissant	opti	0.14 43256
53	22373000	insertion	croissant	nonOpti	0.74 176020
68	5372000	insertion	croissant	nonOpti	0.18 43116
58	15714000	insertion	croissant	nonOpti	0.54 124004
62	16764000	insertion	croissant	nonOpti	0.54 132112
59	14429000	insertion	croissant	nonOpti	0.50 113960
72	2011000	insertion	croissant	nonOpti	0.06 16996
61	18865000	insertion	croissant	opti	0.50 148596
72	2011000	insertion	croissant	opti	0.05 16848
62	16764000	insertion	croissant	opti	0.46 132160
73	1952000	insertion	croissant	opti	0.05 16480
73	1952000	insertion	croissant	nonOpti	0.06 16476
56	28349000	insertion	croissant	opti	0.78 222708
75	1329000	insertion	croissant	nonOpti	0.04 11608
75	1329000	insertion	croissant	opti	0.03 11608
54	29900000	insertion	croissant	opti	0.86 234768
56	28349000	insertion	croissant	nonOpti	0.91 222764
61	18865000	insertion	croissant	nonOpti	0.62 148668
66	21040000	insertion	croissant	opti	0.56 165600
63	29424000	insertion	croissant	opti	0.77 231120
54	29900000	insertion	croissant	nonOpti	1.01 234836
66	21040000	insertion	croissant	nonOpti	0.72 165516
69	22556000	insertion	croissant	nonOpti	0.74 177364
65	22133000	insertion	croissant	opti	0.61 174104
76	8846000	insertion	croissant	opti	0.24 70252
65	22133000	insertion	croissant	nonOpti	0.79 174200
76	8846000	insertion	croissant	nonOpti	0.28 70324
63	29424000	insertion	croissant	nonOpti	0.98 231004
83	5752000	insertion	croissant	nonOpti	0.18 46124
69	22556000	insertion	croissant	opti	0.63 177328
71	19303000	insertion	croissant	opti	0.54 152036
83	5752000	insertion	croissant	opti	0.16 46180
71	19303000	insertion	croissant	nonOpti	0.64 152032
70	25884000	insertion	croissant	nonOpti	0.87 203504
88	2526000	insertion	croissant	nonOpti	0.08 20964
88	2526000	insertion	croissant	opti	0.07 20920
70	25884000	insertion	croissant	opti	0.70 203364
74	20149000	insertion	croissant	opti	0.55 158604
74	20149000	insertion	croissant	nonOpti	0.71 158584
84	16124000	insertion	croissant	nonOpti	0.51 127180
84	16124000	insertion	croissant	opti	0.44 127196
77	24674000	insertion	croissant	opti	0.68 194008
77	24674000	insertion	croissant	nonOpti	0.82 193952
86	13230000	insertion	croissant	opti	0.35 104600
79	30930000	insertion	croissant	opti	0.84 242888
92	9555000	insertion	croissant	opti	0.28 75936
93	6080000	insertion	croissant	opti	0.16 48688
82	24807000	insertion	croissant	nonOpti	0.83 194940
93	6080000	insertion	croissant	nonOpti	0.20 48728
87	15694000	insertion	croissant	nonOpti	0.51 123744
86	13230000	insertion	croissant	nonOpti	0.42 104528
78	26419000	insertion	croissant	opti	0.74 207624
87	15694000	insertion	croissant	opti	0.43 123836
85	18734000	insertion	croissant	opti	0.50 147568
82	24807000	insertion	croissant	opti	0.68 194948
92	9555000	insertion	croissant	nonOpti	0.31 75892
80	26945000	insertion	croissant	opti	0.74 211644
85	18734000	insertion	croissant	nonOpti	0.62 147576
78	26419000	insertion	croissant	nonOpti	0.90 207588
81	30386000	insertion	croissant	opti	0.84 238576
102	1618000	insertion	croissant	nonOpti	0.06 13824
102	1618000	insertion	croissant	opti	0.04 13788
100	4911000	insertion	croissant	opti	0.13 39556
80	26945000	insertion	croissant	nonOpti	0.89 211724
