test	taille	exe	exectime	memory	mmm
261	23022	fus	0.00 1616	1		
261	23022	rap	1.08 2844		1	
262	23663	fus	0.00 1684	1		
262	23663	ins	0.00 1388			1
262	23663	rap	1.14 2840		1	
263	22665	fus	0.00 1712	1		
263	22665	ins	0.00 1428	1		
263	22665	rap	1.05 2792		1	
264	13624	fus	0.00 1392	1		
264	13624	ins	0.00 1356	1		
264	13624	rap	0.38 2184		1	
265	3373	ins	0.00 1304	1		
265	3373	fus	0.00 1232	1		
265	3373	rap	0.02 1416		1	
266	10906	ins	0.00 1312	1		
266	10906	fus	0.00 1412	1		
266	10906	rap	0.24 1940		1	
267	9362	ins	0.00 1296			1
267	9362	fus	0.00 1404	1		
267	9362	rap	0.18 1888		1	
268	13996	fus	0.00 1536			1
268	13996	ins	0.00 1236			1
268	13996	rap	0.40 2212		1	
269	8775	ins	0.00 1268	1		
269	8775	fus	0.00 1492	1		
269	8775	rap	0.16 1796		1	
270	13411	fus	0.00 1500			1
270	13411	ins	0.00 1356			1
270	13411	rap	0.36 2140		1	
271	30785	fus	0.00 1740	1		
271	30785	ins	0.00 1504	1		
271	30785	rap	1.96 3420		1	
272	7136	ins	0.00 1304	1		
272	7136	fus	0.00 1348	1		
272	7136	rap	0.10 1752		1	
273	11629	ins	0.00 1360	1		
273	11629	fus	0.00 1460	1		
273	11629	rap	0.28 2092		1	
274	100	rap	0.00 1268		1	
274	100	fus	0.00 1272		1	
274	100	ins	0.00 1184		1	
275	19583	ins	0.00 1452			1
275	19583	fus	0.00 1588	1		
275	19583	rap	0.79 2556		1	
276	21132	fus	0.00 1600	1		
276	21132	ins	0.00 1452			1
276	21132	rap	0.92 2772		1	
277	3453	ins	0.00 1300	1		
277	3453	fus	0.00 1344	1		
277	3453	rap	0.02 1420		1	
278	17319	fus	0.00 1592	1		
278	17319	ins	0.00 1312	1		
278	17319	rap	0.62 2512		1	
279	13069	fus	0.00 1476	1		
279	13069	ins	0.00 1336			1
279	13069	rap	0.36 2192		1	
280	30789	ins	0.00 1428			1
280	30789	fus	0.00 1764	1		
280	30789	rap	1.94 3420		1	
281	8535	ins	0.00 1348	1		
281	8535	fus	0.00 1312	1		
281	8535	rap	0.15 1852		1	
282	32134	ins	0.00 1508			1
282	32134	fus	0.00 1860	1		
282	32134	rap	2.12 3512		1	
283	16494	fus	0.00 1548	1		
283	16494	ins	0.00 1392	1		
283	16494	rap	0.58 2340		1	
284	6532	ins	0.00 1248			1
284	6532	fus	0.00 1460			1
284	6532	rap	0.08 1712		1	
285	31437	ins	0.00 1512			1
285	31437	fus	0.00 1812	1		
285	31437	rap	2.02 3436		1	
286	29194	ins	0.00 1488	1		
286	29194	fus	0.00 1720	1		
286	29194	rap	1.76 3236		1	
287	8764	ins	0.00 1324			1
287	8764	fus	0.00 1376	1		
287	8764	rap	0.16 1788		1	
288	14670	ins	0.00 1364	1		
288	14670	fus	0.00 1412	1		
288	14670	rap	0.44 2316		1	
289	21631	ins	0.00 1372	1		
289	21631	fus	0.00 1524	1		
289	21631	rap	0.96 2800		1	
290	31971	ins	0.00 1532			1
290	31971	fus	0.00 1732	1		
290	31971	rap	2.09 3424		1	
291	25883	ins	0.00 1492			1
291	25883	fus	0.00 1720	1		
291	25883	rap	1.37 3016		1	
292	7055	ins	0.00 1308	1		
292	7055	fus	0.00 1396	1		
292	7055	rap	0.10 1692		1	
293	26759	fus	0.00 1744	1		
293	26759	ins	0.00 1396	1		
293	26759	rap	1.46 3160		1	
294	11448	ins	0.00 1372			1
294	11448	fus	0.00 1452			1
294	11448	rap	0.27 2088		1	
295	15879	ins	0.00 1408			1
295	15879	fus	0.00 1504	1		
295	15879	rap	0.52 2408		1	
296	2533	ins	0.00 1200	1		
296	2533	fus	0.00 1276	1		
296	2533	rap	0.01 1472		1	
297	25534	fus	0.00 1584	1		
297	25534	ins	0.00 1428	1		
297	25534	rap	1.34 2968		1	
298	29560	ins	0.00 1528			1
298	29560	fus	0.00 1748	1		
298	29560	rap	1.78 3348		1	
299	7450	ins	0.00 1336	1		
299	7450	fus	0.00 1356	1		
299	7450	rap	0.11 1712		1	
300	24496	ins	0.00 1368			1
300	24496	fus	0.00 1672	1		
300	24496	rap	1.24 2900		1	
301	29150	ins	0.00 1452			1
301	29150	fus	0.00 1712	1		
301	29150	rap	1.75 3176		1	
302	28446	ins	0.00 1496			1
302	28446	fus	0.00 1704	1		
302	28446	rap	1.66 3252		1	
303	14127	fus	0.00 1460	1		
303	14127	ins	0.00 1396			1
303	14127	rap	0.41 2164		1	
304	8867	ins	0.00 1332			1
304	8867	fus	0.00 1392			1
304	8867	rap	0.16 1820		1	
305	10750	fus	0.00 1448	1		
305	10750	ins	0.00 1316			1
305	10750	rap	0.25 1928		1	
306	7996	ins	0.00 1296			1
306	7996	fus	0.00 1480	1		
306	7996	rap	0.13 1828		1	
307	30229	ins	0.00 1528	1		
307	30229	fus	0.00 1720	1		
307	30229	rap	1.87 3376		1	
308	12595	ins	0.00 1272	1		
308	12595	fus	0.00 1476	1		
308	12595	rap	0.32 2108		1	
309	13491	ins	0.00 1228			1
309	13491	fus	0.00 1488	1		
309	13491	rap	0.38 2140		1	
310	1216	fus	0.00 1292			1
310	1216	ins	0.00 1284			1
310	1216	rap	0.00 1276		1	
311	13942	ins	0.00 1396	1		
311	13942	fus	0.00 1456	1		
311	13942	rap	0.40 2228		1	
312	21098	fus	0.00 1616	1		
312	21098	ins	0.00 1344	1		
312	21098	rap	0.93 2660		1	
313	880	rap	0.00 1236			1
313	880	fus	0.00 1296		1	
313	880	ins	0.00 1132			1
314	21662	fus	0.00 1596	1		
314	21662	ins	0.00 1364	1		
314	21662	rap	0.97 2720		1	
315	2886	ins	0.00 1248	1		
315	2886	fus	0.00 1332	1		
315	2886	rap	0.02 1468		1	
316	23331	ins	0.00 1436			1
316	23331	fus	0.00 1648	1		
316	23331	rap	1.12 2824		1	
317	10350	fus	0.00 1468	1		
317	10350	ins	0.00 1352	1		
317	10350	rap	0.22 1952		1	
318	2011	fus	0.00 1384	1		
318	2011	ins	0.00 1212	1		
318	2011	rap	0.00 1332		1	
319	25455	ins	0.00 1376			1
319	25455	fus	0.00 1680	1		
319	25455	rap	1.33 3068		1	
320	17997	ins	0.00 1320			1
320	17997	fus	0.00 1552	1		
320	17997	rap	0.66 2544		1	
321	9407	ins	0.00 1308	1		
321	9407	fus	0.00 1396	1		
321	9407	rap	0.18 1840		1	
322	20206	fus	0.00 1504			1
322	20206	ins	0.00 1340			1
322	20206	rap	0.84 2544		1	
323	15434	ins	0.00 1356			1
323	15434	fus	0.00 1508	1		
323	15434	rap	0.49 2368		1	
324	15326	ins	0.00 1404			1
324	15326	fus	0.00 1424	1		
324	15326	rap	0.50 2256		1	
325	11897	ins	0.00 1344			1
325	11897	fus	0.00 1504	1		
325	11897	rap	0.29 2008		1	
326	15620	fus	0.00 1480	1		
326	15620	ins	0.00 1316			1
326	15620	rap	0.50 2320		1	
327	32311	fus	0.00 1740	1		
327	32311	ins	0.00 1540	1		
327	32311	rap	2.13 3468		1	
328	3499	ins	0.00 1212	1		
328	3499	fus	0.00 1332	1		
328	3499	rap	0.02 1420		1	
329	12975	ins	0.00 1368			1
329	12975	fus	0.00 1480	1		
329	12975	rap	0.35 2084		1	
330	17589	fus	0.00 1572	1		
330	17589	ins	0.00 1408	1		
330	17589	rap	0.64 2416		1	
331	9393	ins	0.00 1324	1		
331	9393	fus	0.00 1380	1		
331	9393	rap	0.18 1936		1	
332	13668	ins	0.00 1360			1
332	13668	fus	0.00 1472	1		
332	13668	rap	0.38 2144		1	
333	2309	fus	0.00 1304			1
333	2309	ins	0.00 1272			1
333	2309	rap	0.01 1452		1	
334	19602	fus	0.00 1596	1		
334	19602	ins	0.00 1432	1		
334	19602	rap	0.79 2552		1	
335	11626	ins	0.00 1376			1
335	11626	fus	0.00 1536			1
335	11626	rap	0.28 2068		1	
336	22884	ins	0.00 1304			1
336	22884	fus	0.00 1644			1
336	22884	rap	1.08 2896		1	
337	3827	ins	0.00 1292			1
337	3827	fus	0.00 1336	1		
337	3827	rap	0.03 1548		1	
338	15797	ins	0.00 1352			1
338	15797	fus	0.00 1532	1		
338	15797	rap	0.51 2304		1	
339	21946	fus	0.00 1624			1
339	21946	ins	0.00 1428			1
339	21946	rap	0.98 2772		1	
340	22849	fus	0.00 1716			1
340	22849	ins	0.00 1408			1
340	22849	rap	1.11 2892		1	
341	22398	ins	0.00 1304			1
341	22398	fus	0.00 1672			1
341	22398	rap	1.03 2844		1	
342	18187	ins	0.00 1268			1
342	18187	fus	0.00 1572	1		
342	18187	rap	0.68 2504		1	
343	27305	ins	0.00 1488			1
343	27305	fus	0.00 1688	1		
343	27305	rap	1.53 3044		1	
344	19350	fus	0.00 1620	1		
344	19350	ins	0.00 1416	1		
344	19350	rap	0.77 2628		1	
345	8615	fus	0.00 1392	1		
345	8615	ins	0.00 1320	1		
345	8615	rap	0.16 1780		1	
346	640	fus	0.00 1292		1	
346	640	ins	0.00 1292		1	
346	640	rap	0.00 1220		1	
347	23945	ins	0.00 1316	1		
347	23945	fus	0.00 1616	1		
347	23945	rap	1.20 2960		1	
348	4481	ins	0.00 1208	1		
348	4481	fus	0.00 1304	1		
348	4481	rap	0.04 1496		1	
349	2033	ins	0.00 1264			
349	2033	fus	0.00 1312			
349	2033	rap	0.01 1400		1	
350	11130	ins	0.00 1340			1
350	11130	fus	0.00 1484	1		
350	11130	rap	0.27 2068		1	
351	3545	rap	0.03 1444		1	
351	3545	fus	0.00 1240		1	
351	3545	ins	0.00 1292		1	
352	23010	fus	0.00 1600	1		
352	23010	ins	0.00 1408	1		
352	23010	rap	1.10 2848		1	
353	16206	fus	0.00 1544	1		
353	16206	ins	0.00 1392	1		
353	16206	rap	0.54 2332		1	
354	14513	ins	0.00 1240	1		
354	14513	fus	0.00 1584	1		
354	14513	rap	0.43 2300		1	
355	4875	fus	0.00 1332	1		
355	4875	ins	0.00 1288	1		
355	4875	rap	0.05 1532		1	
356	654	ins	0.00 1188		1	
356	654	fus	0.00 1320		1	
356	654	rap	0.00 1296		1	
357	25778	ins	0.00 1496			1
357	25778	fus	0.00 1640	1		
357	25778	rap	1.38 3064		1	
358	2686	fus	0.00 1332	1		
358	2686	ins	0.00 1148	1		
358	2686	rap	0.02 1368		1	
359	2789	ins	0.00 1312	1		
359	2789	fus	0.00 1336	1		
359	2789	rap	0.01 1472		1	
360	1157	fus	0.00 1328	1		
360	1157	ins	0.00 1184		1	
360	1157	rap	0.00 1256		1	
361	22060	fus	0.00 1656	1		
361	22060	ins	0.00 1428	1		
361	22060	rap	1.01 2832		1	
362	3549	ins	0.00 1280	1		
362	3549	fus	0.00 1328	1		
362	3549	rap	0.02 1532		1	
363	30955	ins	0.00 1516			1
363	30955	fus	0.00 1716	1		
363	30955	rap	2.03 3376		1	
364	11774	ins	0.00 1352	1		
364	11774	fus	0.00 1504	1		
364	11774	rap	0.29 2104		1	
365	8449	fus	0.00 1368	1		
365	8449	ins	0.00 1240	1		
365	8449	rap	0.16 1824		1	
366	28765	ins	0.00 1464	1		
366	28765	fus	0.00 1688	1		
366	28765	rap	1.72 3200		1	
367	5002	ins	0.00 1224	1		
367	5002	fus	0.00 1268	1		
367	5002	rap	0.06 1552		1	
368	2213	fus	0.00 1272	1		
368	2213	ins	0.00 1196	1		
368	2213	rap	0.01 1416		1	
369	17715	ins	0.00 1364			1
369	17715	fus	0.00 1536	1		
369	17715	rap	0.65 2424		1	
370	26153	ins	0.00 1488			1
370	26153	fus	0.00 1692	1		
370	26153	rap	1.41 3024		1	
371	14352	fus	0.00 1536	1		
371	14352	ins	0.00 1308	1		
371	14352	rap	0.43 2240		1	
372	18193	fus	0.00 1468			
372	18193	ins	0.00 1416			
372	18193	rap	0.68 2472		1	
373	1346	ins	0.00 1304	1		
373	1346	fus	0.00 1300		1	
373	1346	rap	0.00 1288		1	
374	23615	fus	0.00 1604	1		
374	23615	ins	0.00 1468			1
374	23615	rap	1.23 2912		1	
375	23105	fus	0.00 1644			1
375	23105	ins	0.00 1420			1
375	23105	rap	1.12 2756		1	
376	1042	ins	0.00 1288	1		
376	1042	fus	0.00 1324			
376	1042	rap	0.00 1356		1	
377	31877	ins	0.00 1480			1
377	31877	fus	0.00 1816	1		
377	31877	rap	2.11 3424		1	
378	16402	fus	0.00 1496	1		
378	16402	ins	0.00 1324			1
378	16402	rap	0.55 2412		1	
379	4745	ins	0.00 1292	1		
379	4745	fus	0.00 1332	1		
379	4745	rap	0.05 1592		1	
380	8632	fus	0.00 1456	1		
380	8632	ins	0.00 1268	1		
380	8632	rap	0.15 1832		1	
381	31701	ins	0.00 1428			1
381	31701	fus	0.00 1772			1
381	31701	rap	2.13 3412		1	
382	13438	ins	0.00 1360			1
382	13438	fus	0.00 1568	1		
382	13438	rap	0.37 2196		1	
383	23726	ins	0.00 1440			1
383	23726	fus	0.00 1608	1		
383	23726	rap	1.17 2844		1	
384	19414	ins	0.00 1416			1
384	19414	fus	0.00 1560	1		
384	19414	rap	0.77 2632		1	
385	8299	fus	0.00 1368	1		
385	8299	ins	0.00 1340	1		
385	8299	rap	0.14 1840		1	
386	713	fus	0.00 1240			
386	713	rap	0.00 1244		1	
386	713	ins	0.00 1188		1	
387	3	fus	0.00 1236			
387	3	ins	0.00 1228			
387	3	rap	0.00 1284			
388	7891	fus	0.00 1388	1		
388	7891	ins	0.00 1260			1
388	7891	rap	0.13 1836		1	
389	24277	ins	0.00 1456			1
389	24277	fus	0.00 1620	1		
389	24277	rap	1.22 2888		1	
390	9027	ins	0.00 1340	1		
390	9027	fus	0.00 1492	1		
390	9027	rap	0.16 1916		1	
391	15701	ins	0.00 1300			1
391	15701	fus	0.00 1564	1		
391	15701	rap	0.50 2352		1	
392	19743	fus	0.00 1552			1
392	19743	ins	0.00 1420			1
392	19743	rap	0.80 2568		1	
393	2819	ins	0.00 1144			1
393	2819	fus	0.00 1324	1		
393	2819	rap	0.02 1488		1	
394	16953	ins	0.00 1432			1
394	16953	fus	0.00 1580	1		
394	16953	rap	0.59 2476		1	
395	30687	ins	0.00 1440	1		
395	30687	fus	0.00 1736	1		
395	30687	rap	1.93 3392		1	
396	755	ins	0.00 1292		1	
396	755	fus	0.00 1252		1	
396	755	rap	0.00 1244		1	
397	28958	ins	0.00 1492			1
397	28958	fus	0.00 1744	1		
397	28958	rap	1.74 3288		1	
398	10215	ins	0.00 1208	1		
398	10215	fus	0.00 1464	1		
398	10215	rap	0.22 1972		1	
399	212	fus	0.00 1316			1
399	212	rap	0.00 1244			1
399	212	ins	0.00 1280			1
400	8368	ins	0.00 1248	1		
400	8368	fus	0.00 1488	1		
400	8368	rap	0.14 1712		1	
401	8597	fus	0.00 1392			1
401	8597	ins	0.00 1332			1
401	8597	rap	0.15 1796		1	
402	4646	ins	0.00 1328	1		
402	4646	fus	0.00 1344	1		
402	4646	rap	0.05 1576		1	
403	13737	ins	0.00 1236			1
403	13737	fus	0.00 1400	1		
403	13737	rap	0.38 2160		1	
404	10053	fus	0.00 1432	1		
404	10053	ins	0.00 1340	1		
404	10053	rap	0.21 1928		1	
405	25844	ins	0.00 1456			1
405	25844	fus	0.00 1676	1		
405	25844	rap	1.37 3068		1	
406	7114	ins	0.00 1240	1		
406	7114	fus	0.00 1400	1		
406	7114	rap	0.10 1736		1	
407	12540	ins	0.00 1324			
407	12540	fus	0.00 1476	1		
407	12540	rap	0.32 2132		1	
408	6761	ins	0.00 1316			1
408	6761	fus	0.00 1348	1		
408	6761	rap	0.10 1708		1	
409	14724	ins	0.00 1312	1		
409	14724	fus	0.00 1512	1		
409	14724	rap	0.45 2232		1	
410	23478	fus	0.00 1660	1		
410	23478	ins	0.00 1468	1		
410	23478	rap	1.12 2928		1	
411	15682	fus	0.00 1484	1		
411	15682	ins	0.00 1404	1		
411	15682	rap	0.52 2380		1	
412	1323	ins	0.00 1260			1
412	1323	fus	0.00 1272	1		
412	1323	rap	0.00 1312		1	
413	1901	fus	0.00 1296			1
413	1901	ins	0.00 1312			1
413	1901	rap	0.00 1404		1	
414	16816	ins	0.00 1388			1
414	16816	fus	0.00 1548	1		
414	16816	rap	0.58 2476		1	
415	20526	fus	0.00 1604	1		
415	20526	ins	0.00 1444	1		
415	20526	rap	0.87 2696		1	
416	15438	fus	0.00 1560	1		
416	15438	ins	0.00 1348	1		
416	15438	rap	0.52 2352		1	
417	20162	fus	0.00 1632	1		
417	20162	ins	0.00 1392			1
417	20162	rap	0.88 2668		1	
418	28124	ins	0.00 1488			1
418	28124	fus	0.00 1716	1		
418	28124	rap	1.70 3152		1	
419	19645	ins	0.00 1380	1		
419	19645	fus	0.00 1628	1		
419	19645	rap	0.80 2564		1	
420	13660	ins	0.00 1388			1
420	13660	fus	0.00 1468	1		
420	13660	rap	0.38 2244		1	
421	18606	fus	0.00 1648			1
421	18606	ins	0.00 1340			1
421	18606	rap	0.72 2436		1	
422	22038	ins	0.00 1412			1
422	22038	fus	0.00 1624	1		
422	22038	rap	1.02 2832		1	
423	25155	ins	0.00 1452			1
423	25155	fus	0.00 1680	1		
423	25155	rap	1.31 2944		1	
424	15743	ins	0.00 1320			1
424	15743	fus	0.00 1604	1		
424	15743	rap	0.51 2356		1	
425	2231	fus	0.00 1316	1		
425	2231	ins	0.00 1192	1		
425	2231	rap	0.01 1348		1	
426	17690	ins	0.00 1400	1		
426	17690	fus	0.00 1460	1		
426	17690	rap	0.64 2416		1	
427	3351	ins	0.00 1308	1		
427	3351	fus	0.00 1328	1		
427	3351	rap	0.02 1408		1	
428	9338	ins	0.00 1336	1		
428	9338	fus	0.00 1404	1		
428	9338	rap	0.18 1836		1	
429	29924	ins	0.00 1412			1
429	29924	fus	0.00 1744	1		
429	29924	rap	1.95 3280		1	
430	27598	ins	0.00 1392	1		
430	27598	fus	0.00 1688	1		
430	27598	rap	1.60 3220		1	
431	18631	fus	0.00 1584	1		
431	18631	ins	0.00 1320			1
431	18631	rap	0.72 2536		1	
432	17091	ins	0.00 1320	1		
432	17091	fus	0.00 1628	1		
432	17091	rap	0.60 2380		1	
433	25325	ins	0.00 1376			1
433	25325	fus	0.00 1656	1		
433	25325	rap	1.33 3076		1	
434	3166	ins	0.00 1224	1		
434	3166	fus	0.00 1340	1		
434	3166	rap	0.02 1488		1	
435	11248	ins	0.00 1360	1		
435	11248	fus	0.00 1472	1		
435	11248	rap	0.26 2076		1	
436	20009	fus	0.00 1604	1		
436	20009	ins	0.00 1456	1		
436	20009	rap	0.83 2680		1	
437	13496	ins	0.00 1368	1		
437	13496	fus	0.00 1532	1		
437	13496	rap	0.40 2124		1	
438	14492	ins	0.00 1368	1		
438	14492	fus	0.00 1468	1		
438	14492	rap	0.46 2288		1	
439	18554	ins	0.00 1424	1		
439	18554	fus	0.00 1616	1		
439	18554	rap	0.72 2600		1	
440	7427	fus	0.00 1380	1		
440	7427	ins	0.00 1240	1		
440	7427	rap	0.12 1800		1	
441	23468	fus	0.00 1596	1		
441	23468	ins	0.00 1464	1		
441	23468	rap	1.14 2932		1	
442	13970	fus	0.00 1524			1
442	13970	ins	0.00 1380			1
442	13970	rap	0.40 2160		1	
443	28624	fus	0.00 1740	1		
443	28624	ins	0.00 1408	1		
443	28624	rap	1.71 3240		1	
444	2855	fus	0.00 1284	1		
444	2855	ins	0.00 1292			1
444	2855	rap	0.02 1448		1	
445	19324	fus	0.00 1560	1		
445	19324	ins	0.00 1328	1		
445	19324	rap	0.79 2484		1	
446	32717	ins	0.00 1492	1		
446	32717	fus	0.00 1752	1		
446	32717	rap	2.26 3476		1	
447	3934	ins	0.00 1300	1		
447	3934	fus	0.00 1348	1		
447	3934	rap	0.04 1540		1	
448	11130	fus	0.00 1532	1		
448	11130	ins	0.00 1316	1		
448	11130	rap	0.26 1980		1	
449	5611	ins	0.00 1240			1
449	5611	fus	0.00 1360			1
449	5611	rap	0.06 1680		1	
450	7835	fus	0.00 1412	1		
450	7835	ins	0.00 1260	1		
450	7835	rap	0.13 1840		1	
451	29341	fus	0.00 1776	1		
451	29341	ins	0.00 1408			1
451	29341	rap	1.86 3360		1	
452	28498	fus	0.00 1700	1		
452	28498	ins	0.00 1396	1		
452	28498	rap	1.67 3196		1	
453	19296	fus	0.00 1584	1		
453	19296	ins	0.00 1380			1
453	19296	rap	0.76 2640		1	
454	24124	fus	0.00 1636			1
454	24124	ins	0.00 1488			1
454	24124	rap	1.22 2872		1	
455	23955	fus	0.00 1688	1		
455	23955	ins	0.00 1388	1		
455	23955	rap	1.19 2964		1	
456	11051	ins	0.00 1280	1		
456	11051	fus	0.00 1520	1		
456	11051	rap	0.26 1996		1	
457	26793	ins	0.00 1388			1
457	26793	fus	0.00 1652	1		
457	26793	rap	1.54 3140		1	
458	32328	fus	0.00 1740	1		
458	32328	ins	0.00 1440			1
458	32328	rap	2.17 3572		1	
459	25639	ins	0.00 1484	1		
459	25639	fus	0.00 1684	1		
459	25639	rap	1.47 2996		1	
460	236	fus	0.00 1240		1	
460	236	ins	0.00 1236		1	
460	236	rap	0.00 1192		1	
461	12141	ins	0.00 1368			1
461	12141	fus	0.00 1512	1		
461	12141	rap	0.35 2104		1	
462	27448	ins	0.00 1488			1
462	27448	fus	0.00 1788	1		
462	27448	rap	1.73 3212		1	
463	29206	ins	0.00 1428	1		
463	29206	fus	0.00 1740	1		
463	29206	rap	1.80 3280		1	
464	20083	ins	0.00 1352			1
464	20083	fus	0.00 1600	1		
464	20083	rap	0.85 2668		1	
465	8550	ins	0.00 1296	1		
465	8550	fus	0.00 1392	1		
465	8550	rap	0.16 1880		1	
466	2504	fus	0.00 1292			1
466	2504	ins	0.00 1272			1
466	2504	rap	0.01 1428		1	
467	31251	ins	0.00 1528			1
467	31251	fus	0.00 1728	1		
467	31251	rap	2.03 3492		1	
468	6958	ins	0.00 1308			1
468	6958	fus	0.00 1376			1
468	6958	rap	0.10 1756		1	
469	9421	fus	0.00 1412	1		
469	9421	ins	0.00 1324	1		
469	9421	rap	0.20 1852		1	
470	16693	fus	0.00 1572	1		
470	16693	ins	0.00 1320	1		
470	16693	rap	0.59 2340		1	
471	8124	fus	0.00 1312	1		
471	8124	ins	0.00 1264	1		
471	8124	rap	0.14 1824		1	
472	12669	ins	0.00 1276			1
472	12669	fus	0.00 1440	1		
472	12669	rap	0.33 2116		1	
473	18986	ins	0.00 1408	1		
473	18986	fus	0.00 1540	1		
473	18986	rap	0.76 2616		1	
474	14520	ins	0.00 1308			1
474	14520	fus	0.00 1492	1		
474	14520	rap	0.44 2300		1	
475	24576	ins	0.00 1416	1		
475	24576	fus	0.00 1624	1		
475	24576	rap	1.24 2956		1	
476	26797	ins	0.00 1396			1
476	26797	fus	0.00 1704			1
476	26797	rap	1.48 3180		1	
477	643	fus	0.00 1296		1	
477	643	ins	0.00 1268		1	
477	643	rap	0.00 1340		1	
478	11589	fus	0.00 1448	1		
478	11589	ins	0.00 1268	1		
478	11589	rap	0.28 2104		1	
479	19718	ins	0.00 1440			1
479	19718	fus	0.00 1548			1
479	19718	rap	0.81 2668		1	
480	29992	ins	0.00 1492			1
480	29992	fus	0.00 1780	1		
480	29992	rap	1.99 3388		1	
481	25655	fus	0.00 1720	1		
481	25655	ins	0.00 1384			1
481	25655	rap	1.38 3088		1	
482	30118	ins	0.00 1500			1
482	30118	fus	0.00 1764	1		
482	30118	rap	1.88 3380		1	
483	12873	ins	0.00 1324	1		
483	12873	fus	0.00 1556	1		
483	12873	rap	0.34 2156		1	
484	31078	ins	0.00 1532			1
484	31078	fus	0.00 1720			1
484	31078	rap	2.01 3384		1	
485	29615	ins	0.00 1360			1
485	29615	fus	0.00 1784	1		
485	29615	rap	1.84 3264		1	
486	4170	fus	0.00 1352	1		
486	4170	ins	0.00 1160			1
486	4170	rap	0.04 1568		1	
487	17924	ins	0.00 1340	1		
487	17924	fus	0.00 1556	1		
487	17924	rap	0.67 2436		1	
488	2571	ins	0.00 1276			1
488	2571	fus	0.00 1352			1
488	2571	rap	0.01 1440		1	
489	12366	ins	0.00 1376	1		
489	12366	fus	0.00 1472	1		
489	12366	rap	0.32 2136		1	
490	1477	fus	0.00 1264			1
490	1477	ins	0.00 1244			1
490	1477	rap	0.00 1396		1	
491	3787	fus	0.00 1344			1
491	3787	ins	0.00 1316			1
491	3787	rap	0.03 1548		1	
492	26169	fus	0.00 1600	1		
492	26169	ins	0.00 1464			1
492	26169	rap	1.41 3104		1	
493	30101	ins	0.00 1360			1
493	30101	fus	0.00 1784	1		
493	30101	rap	1.87 3372		1	
494	16641	fus	0.00 1528			1
494	16641	ins	0.00 1384			1
494	16641	rap	0.57 2448		1	
495	22983	ins	0.00 1444	1		
495	22983	fus	0.00 1672	1		
495	22983	rap	1.09 2876		1	
496	20567	ins	0.00 1284			1
496	20567	fus	0.00 1560			1
496	20567	rap	0.88 2628		1	
497	22454	ins	0.00 1424			1
497	22454	fus	0.00 1640			1
497	22454	rap	1.11 2756		1	
498	17997	ins	0.00 1400			1
498	17997	fus	0.00 1560	1		
498	17997	rap	0.66 2536		1	
499	12380	ins	0.00 1324			1
499	12380	fus	0.00 1468	1		
499	12380	rap	0.32 2120		1	
500	8885	ins	0.00 1244	1		
500	8885	fus	0.00 1428	1		
500	8885	rap	0.17 1856		1	
501	22685	ins	0.00 1432			1
501	22685	fus	0.00 1716	1		
501	22685	rap	1.06 2792		1	
502	22328	fus	0.00 1660	1		
502	22328	ins	0.00 1360	1		
502	22328	rap	1.06 2768		1	
503	21893	ins	0.00 1456	1		
503	21893	fus	0.00 1624	1		
503	21893	rap	1.00 2792		1	
504	14176	fus	0.00 1400	1		
504	14176	ins	0.00 1388	1		
504	14176	rap	0.42 2244		1	
505	9182	ins	0.00 1248			1
505	9182	fus	0.00 1464			1
505	9182	rap	0.18 1908		1	
506	27123	ins	0.00 1484	1		
506	27123	fus	0.00 1692	1		
506	27123	rap	1.53 3172		1	
507	3952	fus	0.00 1316	1		
507	3952	ins	0.00 1208	1		
507	3952	rap	0.03 1504		1	
508	18420	ins	0.00 1440	1		
508	18420	fus	0.00 1572	1		
508	18420	rap	0.71 2556		1	
509	15048	fus	0.00 1528			1
509	15048	ins	0.00 1344			1
509	15048	rap	0.46 2316		1	
510	31860	fus	0.00 1812	1		
510	31860	ins	0.00 1432	1		
510	31860	rap	2.10 3488		1	
511	25880	ins	0.00 1484			1
511	25880	fus	0.00 1664			1
511	25880	rap	1.39 3016		1	
512	10601	fus	0.00 1352	1		
512	10601	ins	0.00 1372	1		
512	10601	rap	0.24 2028		1	
513	938	fus	0.00 1328	1		
513	938	ins	0.00 1288		1	
513	938	rap	0.00 1360		1	
514	14854	ins	0.00 1340	1		
514	14854	fus	0.00 1500	1		
514	14854	rap	0.45 2336		1	
515	13412	ins	0.00 1300	1		
515	13412	fus	0.00 1464	1		
515	13412	rap	0.37 2192		1	
516	23323	fus	0.00 1600	1		
516	23323	ins	0.00 1368			1
516	23323	rap	1.20 2904		1	
517	27543	ins	0.00 1396	1		
517	27543	fus	0.00 1684	1		
517	27543	rap	1.57 3132		1	
518	15259	ins	0.00 1408			1
518	15259	fus	0.00 1480	1		
518	15259	rap	0.50 2368		1	
519	25017	fus	0.00 1676	1		
519	25017	ins	0.00 1376	1		
519	25017	rap	1.32 2940		1	
520	30721	ins	0.00 1496	1		
520	30721	fus	0.00 1736	1		
520	30721	rap	1.96 3460		1	
521	21678	ins	0.00 1372	1		
521	21678	fus	0.00 1628	1		
521	21678	rap	0.97 2808		1	
522	9173	ins	0.00 1352			1
522	9173	fus	0.00 1376	1		
522	9173	rap	0.18 1820		1	
523	6007	ins	0.00 1228	1		
523	6007	fus	0.00 1408	1		
523	6007	rap	0.08 1656		1	
