test	taille	exe	exectime	memory	mmm
397	967000	fus	0.22 16364	1	
397	967000	rap	0.35 8796		1
398	691000	fus	0.15 12072	1	
398	691000	rap	0.21 6600		1
399	150000	rap	0.02 2372		1
399	150000	fus	0.03 3664	1	
400	781000	fus	0.24 13436	1	
400	781000	rap	0.32 7232		1
401	978000	fus	0.22 16564	1	
401	978000	rap	0.36 8944		1
402	459000	fus	0.10 8444	1	
402	459000	rap	0.12 4872		1
403	87000	rap	0.02 1860		1
403	87000	fus	0.02 2676	1	
404	67000	rap	0.01 1792		1
404	67000	fus	0.01 2332	1	
405	719000	fus	0.16 12524	1	
405	719000	rap	0.22 6876		1
406	936000	fus	0.31 15880	1	
406	936000	rap	0.44 8520		1
407	893000	fus	0.20 15196	1	
407	893000	rap	0.32 8168		1
408	841000	fus	0.20 14376	1	
408	841000	rap	0.29 7700		1
409	300000	fus	0.06 5928	1	
409	300000	rap	0.06 3544	1	
410	389000	fus	0.08 7328	1	
410	389000	rap	0.10 4320		1
411	83000	rap	0.01 1908		1
411	83000	fus	0.01 2592	1	
412	705000	fus	0.16 12368	1	
412	705000	rap	0.22 6736		1
413	123000	rap	0.02 2252		1
413	123000	fus	0.02 3204	1	
414	26000	rap	0.00 1480	1	
414	26000	fus	0.00 1688	1	
415	438000	fus	0.10 8160	1	
415	438000	rap	0.11 4620		1
416	888000	fus	0.20 15112	1	
416	888000	rap	0.31 8128		1
417	920000	fus	0.20 15692	1	
417	920000	rap	0.33 8320		1
418	970000	fus	0.22 16420	1	
418	970000	rap	0.36 8828		1
419	997000	fus	0.22 16872	1	
419	997000	rap	0.37 8920		1
420	892000	fus	0.21 15252	1	
420	892000	rap	0.32 8156		1
421	262000	rap	0.06 3296	1	
421	262000	fus	0.06 5340	1	
422	698000	fus	0.17 12184	1	
422	698000	rap	0.22 6740		1
423	368000	fus	0.08 6988	1	
423	368000	rap	0.09 4052		1
424	23000	rap	0.00 1456	1	
424	23000	fus	0.00 1588	1	
425	584000	fus	0.14 10384	1	
425	584000	rap	0.18 5792		1
426	233000	rap	0.05 3092	1	
426	233000	fus	0.05 4924	1	
427	585000	fus	0.14 10424	1	
427	585000	rap	0.18 5860		1
428	42000	rap	0.00 1552		1
428	42000	fus	0.00 1972	1	
429	379000	fus	0.11 7208	1	
429	379000	rap	0.12 4144		1
430	575000	fus	0.13 10244	1	
430	575000	rap	0.16 5696		1
431	901000	fus	0.21 15316	1	
431	901000	rap	0.32 8288		1
432	349000	fus	0.08 6732	1	
432	349000	rap	0.08 4004		1
433	591000	fus	0.14 10520	1	
433	591000	rap	0.18 5800		1
434	814000	fus	0.18 13984	1	
434	814000	rap	0.27 7624		1
435	241000	rap	0.05 3084	1	
435	241000	fus	0.05 5008	1	
436	90000	rap	0.01 1900		1
436	90000	fus	0.02 2684	1	
437	109000	rap	0.02 2128		1
437	109000	fus	0.02 2984	1	
438	540000	fus	0.13 9696	1	
438	540000	rap	0.15 5400		1
439	683000	fus	0.16 11928	1	
439	683000	rap	0.21 6616		1
440	43000	rap	0.00 1568		1
440	43000	fus	0.00 1932	1	
441	218000	rap	0.04 2972		1
441	218000	fus	0.04 4656	1	
442	213000	rap	0.04 2848	1	
442	213000	fus	0.04 4572	1	
443	209000	rap	0.05 2900		1
443	209000	fus	0.05 4528	1	
444	648000	fus	0.14 11364	1	
444	648000	rap	0.20 6348		1
445	899000	fus	0.20 15312	1	
445	899000	rap	0.32 8264		1
446	486000	fus	0.10 8780	1	
446	486000	rap	0.13 5064		1
447	159000	rap	0.03 2536		1
447	159000	fus	0.03 3772	1	
448	850000	fus	0.20 14560	1	
448	850000	rap	0.30 7928		1
449	528000	fus	0.12 9520	1	
449	528000	rap	0.14 5388		1
450	632000	fus	0.14 11116	1	
450	632000	rap	0.19 6204		1
451	884000	fus	0.20 15056	1	
451	884000	rap	0.31 8092		1
452	201000	rap	0.04 2796		1
452	201000	fus	0.04 4428	1	
453	606000	fus	0.14 10780	1	
453	606000	rap	0.19 5996		1
454	191000	rap	0.04 2696		1
454	191000	fus	0.04 4272	1	
455	765000	fus	0.18 13188	1	
455	765000	rap	0.24 7168		1
456	194000	rap	0.04 2772		1
456	194000	fus	0.05 4320	1	
457	477000	fus	0.11 8688	1	
457	477000	rap	0.13 4912		1
458	730000	fus	0.17 12672	1	
458	730000	rap	0.24 6912		1
459	69000	rap	0.01 1732	1	
459	69000	fus	0.01 2336	1	
460	745000	fus	0.16 12944	1	
460	745000	rap	0.24 7080		1
461	482000	fus	0.11 8844	1	
461	482000	rap	0.13 4968		1
462	356000	fus	0.08 6804	1	
462	356000	rap	0.09 3968		1
463	696000	fus	0.16 12196	1	
463	696000	rap	0.22 6564		1
464	159000	rap	0.03 2476	1	
464	159000	fus	0.03 3836	1	
465	886000	fus	0.20 15100	1	
465	886000	rap	0.32 8208		1
466	865000	fus	0.20 14796	1	
466	865000	rap	0.30 7964		1
467	422000	fus	0.09 7852	1	
467	422000	rap	0.11 4528		1
468	456000	fus	0.10 8468	1	
468	456000	rap	0.12 4740		1
469	870000	fus	0.20 14836	1	
469	870000	rap	0.30 7988		1
470	223000	fus	0.04 4744		1
470	223000	rap	0.04 3020		1
471	436000	fus	0.10 8056	1	
471	436000	rap	0.12 4660	TriFusion	1
472	202000	rap	0.04 2804		1
472	202000	fus	0.04 4340	1	
473	581000	fus	0.13 10396	1	
473	581000	rap	0.16 5740		1
474	569000	fus	0.14 10168	1	
474	569000	rap	0.17 5712		1
475	103000	rap	0.02 2032		1
475	103000	fus	0.02 2868	1	
476	173000	rap	0.03 2612		1
476	173000	fus	0.03 3944	1	
477	896000	fus	0.20 15260	1	
477	896000	rap	0.32 8184		1
478	682000	fus	0.16 11892	1	
478	682000	rap	0.21 6560		1
479	785000	fus	0.17 13524	1	
479	785000	rap	0.26 7364		1
480	410000	fus	0.08 7680	1	
480	410000	rap	0.10 4432		1
481	455000	fus	0.10 8364	1	
481	455000	rap	0.12 4824		1
482	461000	fus	0.10 8560	1	
482	461000	rap	0.12 4792		1
483	82000	rap	0.01 1872		1
483	82000	fus	0.02 2544	1	
484	655000	fus	0.15 11512	1	
484	655000	rap	0.20 6384		1
485	681000	fus	0.15 11896	1	
485	681000	rap	0.21 6596		1
486	952000	fus	0.22 16152	1	
486	952000	rap	0.34 8732		1
487	237000	rap	0.06 3100	1	
487	237000	fus	0.06 4940	1	
488	125000	rap	0.02 2248		1
488	125000	fus	0.03 3204	1	
489	286000	rap	0.06 3516	1	
489	286000	fus	0.06 5788	1	
490	354000	fus	0.08 6780	1	
490	354000	rap	0.08 3964		1
491	111000	rap	0.02 2044		1
491	111000	fus	0.02 3012	1	
492	511000	fus	0.10 9280	1	
492	511000	rap	0.14 5284		1
493	22000	rap	0.00 1420	1	
493	22000	fus	0.00 1596	1	
494	35000	rap	0.00 1552		1
494	35000	fus	0.00 1804	1	
495	95000	rap	0.01 1940		1
495	95000	fus	0.02 2804	1	
496	944000	fus	0.22 15932	1	
496	944000	rap	0.35 8660		1
497	962000	fus	0.22 16348	1	
497	962000	rap	0.36 8788		1
498	911000	fus	0.22 15544	1	
498	911000	rap	0.33 8384		1
499	173000	fus	0.03 3968		1
499	173000	rap	0.03 2600		1
500	92000	rap	0.02 1844		1
500	92000	fus	0.02 2676	1	
501	472000	fus	0.10 8688	1	
501	472000	rap	0.12 4940		1
502	608000	fus	0.14 10784	1	
502	608000	rap	0.18 5988		1
503	840000	fus	0.19 14412	1	
503	840000	rap	0.29 7804		1
504	481000	fus	0.10 8792	1	
504	481000	rap	0.13 5016		1
505	772000	fus	0.18 13340	1	
505	772000	rap	0.25 7268		1
506	270000	rap	0.06 3236		1
506	270000	fus	0.06 5488		1
507	395000	fus	0.10 7460	1	
507	395000	rap	0.11 4212		1
508	949000	fus	0.22 16116	1	
508	949000	rap	0.34 8652		1
509	990000	fus	0.22 16780	1	
509	990000	rap	0.37 9028		1
510	900000	fus	0.21 15324	1	
510	900000	rap	0.32 8160		1
511	91000	rap	0.01 1964		1
511	91000	fus	0.02 2696	1	
512	853000	fus	0.21 14624	1	
512	853000	rap	0.30 7856		1
513	568000	fus	0.13 10188	1	
513	568000	rap	0.16 5620		1
514	974000	fus	0.22 16456	1	
514	974000	rap	0.36 8852		1
515	369000	fus	0.09 7068	1	
515	369000	rap	0.10 4072		1
516	801000	fus	0.18 13752	1	
516	801000	rap	0.27 7388		1
517	394000	fus	0.08 7508	1	
517	394000	rap	0.09 4264		1
518	292000	fus	0.07 5808		1
518	292000	rap	0.07 3468		1
519	675000	fus	0.16 11832	1	
519	675000	rap	0.21 6564		1
520	65000	rap	0.01 1736		1
520	65000	fus	0.01 2292	1	
521	654000	fus	0.14 11500	1	
521	654000	rap	0.20 6384		1
522	871000	fus	0.20 14876	1	
522	871000	rap	0.30 7996		1
523	289000	fus	0.06 5772		1
523	289000	rap	0.06 3440		1
524	682000	fus	0.16 11916	1	
524	682000	rap	0.22 6592		1
525	879000	fus	0.21 15048	1	
525	879000	rap	0.32 8000		1
526	27000	rap	0.00 1496	1	
526	27000	fus	0.00 1680	1	
527	289000	fus	0.07 5776	1	
527	289000	rap	0.08 3540		1
528	952000	fus	0.22 16160	1	
528	952000	rap	0.34 8700		1
529	38000	rap	0.00 1556		1
529	38000	fus	0.00 1916	1	
530	217000	rap	0.05 2976	1	
530	217000	fus	0.05 4744	1	
531	477000	fus	0.11 8732	1	
531	477000	rap	0.13 4852		1
532	128000	rap	0.02 2272		1
532	128000	fus	0.02 3320	1	
533	223000	rap	0.04 3020		1
533	223000	fus	0.05 4724	1	
534	638000	fus	0.15 11284	1	
534	638000	rap	0.19 6224		1
535	927000	fus	0.20 15800	1	
535	927000	rap	0.33 8508		1
536	278000	rap	0.06 3356	1	
536	278000	fus	0.06 5580	1	
537	185000	rap	0.03 2732		1
537	185000	fus	0.04 4180	1	
538	85000	rap	0.01 1792		1
538	85000	fus	0.02 2596	1	
539	128000	rap	0.02 2192		1
539	128000	fus	0.03 3248	1	
540	479000	fus	0.10 8744	1	
540	479000	rap	0.13 5028		1
541	15000	rap	0.00 1392	1	
541	15000	fus	0.00 1476	1	
542	647000	fus	0.15 11384	1	
542	647000	rap	0.20 6280		1
543	631000	fus	0.14 11116	1	
543	631000	rap	0.19 6120		1
544	619000	fus	0.14 10904	1	
544	619000	rap	0.18 6120		1
545	143000	rap	0.02 2344		1
545	143000	fus	0.03 3472	1	
546	463000	fus	0.10 8508	1	
546	463000	rap	0.12 4844		1
547	725000	fus	0.17 12620	1	
547	725000	rap	0.23 6848		1
548	557000	fus	0.16 10056	1	
548	557000	rap	0.20 5608		1
549	319000	fus	0.07 6300	1	
549	319000	rap	0.07 3788		1
550	296000	fus	0.07 5944		1
550	296000	rap	0.08 3492		1
551	839000	fus	0.20 14292	1	
551	839000	rap	0.29 7744		1
552	400000	fus	0.09 7608	1	
552	400000	rap	0.10 4356		1
553	349000	rap	0.08 3932		1
553	349000	fus	0.08 6808		1
554	570000	fus	0.13 10180	1	
554	570000	rap	0.17 5736		1
555	894000	fus	0.20 15252	1	
555	894000	rap	0.32 8252		1
556	376000	fus	0.08 7160	1	
556	376000	rap	0.09 4228		1
557	908000	fus	0.21 15428	1	
557	908000	rap	0.33 8300		1
558	530000	fus	0.12 9636	1	
558	530000	rap	0.15 5324		1
559	63000	fus	0.01 2268	1	
559	63000	rap	0.01 1696		1
560	882000	fus	0.20 15072	1	
560	882000	rap	0.31 8192		1
561	875000	fus	0.20 14932	1	
561	875000	rap	0.30 8020		1
562	512000	fus	0.11 9320	1	
562	512000	rap	0.14 5256		1
563	28000	rap	0.00 1484	1	
563	28000	fus	0.00 1680	1	
564	347000	fus	0.08 6676	1	
564	347000	rap	0.08 4004		1
565	833000	fus	0.28 14272	1	
565	833000	rap	0.38 7804		1
566	564000	fus	0.17 10128	1	
566	564000	rap	0.21 5664		1
567	698000	fus	0.17 12184	1	
567	698000	rap	0.22 6744		1
568	722000	fus	0.17 12560	1	
568	722000	rap	0.23 6916		1
569	201000	rap	0.04 2856		1
569	201000	fus	0.04 4380	1	
570	998000	fus	0.23 16904	1	
570	998000	rap	0.38 9092		1
571	643000	fus	0.15 11280	1	
571	643000	rap	0.20 6308		1
572	524000	fus	0.15 9508	1	
572	524000	rap	0.18 5392		1
573	371000	fus	0.09 7072	1	
573	371000	rap	0.09 4180		1
574	457000	fus	0.10 8404	1	
574	457000	rap	0.12 4864		1
575	157000	rap	0.03 2520		1
575	157000	fus	0.03 3736	1	
576	850000	fus	0.20 14464	1	
576	850000	rap	0.29 7908		1
577	421000	fus	0.09 7816	1	
577	421000	rap	0.10 4584		1
578	62000	rap	0.00 1740		1
578	62000	fus	0.01 2288	1	
579	479000	fus	0.11 8796	1	
579	479000	rap	0.13 5040		1
580	817000	fus	0.19 14048	1	
580	817000	rap	0.27 7656		1
581	359000	fus	0.08 6896	1	
581	359000	rap	0.08 3988		1
582	92000	rap	0.01 1900		1
582	92000	fus	0.02 2792	1	
583	823000	fus	0.19 14148	1	
583	823000	rap	0.28 7700		1
584	559000	fus	0.13 9976	1	
584	559000	rap	0.16 5628		1
585	681000	fus	0.16 11880	1	
585	681000	rap	0.21 6608		1
586	695000	fus	0.16 12152	1	
586	695000	rap	0.22 6704		1
587	630000	fus	0.14 11088	1	
587	630000	rap	0.18 6112		1
588	583000	fus	0.13 10344	1	
588	583000	rap	0.17 5792		1
589	290000	fus	0.06 5848	1	
589	290000	rap	0.07 3448	1	
590	64000	fus	0.01 2256	1	
590	64000	rap	0.01 1700		1
591	590000	fus	0.18 10532	1	
591	590000	rap	0.22 5740		1
592	319000	fus	0.07 6240	1	
592	319000	rap	0.07 3724		1
593	815000	fus	0.19 14024	1	
593	815000	rap	0.28 7604		1
594	668000	fus	0.15 11704	1	
594	668000	rap	0.21 6456		1
595	952000	fus	0.22 16160	1	
595	952000	rap	0.35 8668		1
596	920000	fus	0.21 15696	1	
596	920000	rap	0.33 8448		1
597	451000	fus	0.10 8356	1	
597	451000	rap	0.12 4800		1
598	261000	rap	0.06 3224		1
598	261000	fus	0.06 5396		1
599	115000	rap	0.02 2184		1
599	115000	fus	0.02 3032	1	
600	420000	fus	0.10 7800	1	
600	420000	rap	0.12 4540		1
601	14000	rap	0.00 1352	1	
601	14000	fus	0.00 1504	1	
602	830000	fus	0.19 14284	1	
602	830000	rap	0.28 7692		1
603	817000	fus	0.26 14056	1	
603	817000	rap	0.36 7516		1
604	489000	fus	0.11 8936	1	
604	489000	rap	0.13 5004		1
605	251000	fus	0.06 5196	1	
605	251000	rap	0.06 3164		1
606	792000	fus	0.18 13728	1	
606	792000	rap	0.26 7464		1
607	962000	fus	0.22 16344	1	
607	962000	rap	0.35 8776		1
608	769000	fus	0.18 13248	1	
608	769000	rap	0.26 7208		1
609	990000	fus	0.23 16712	1	
609	990000	rap	0.37 8992		1
610	620000	fus	0.14 10920	1	
610	620000	rap	0.18 6116		1
611	883000	fus	0.20 15156	1	
611	883000	rap	0.31 8196		1
612	151000	rap	0.04 2448		1
612	151000	fus	0.04 3676	1	
613	814000	fus	0.20 14036	1	
613	814000	rap	0.28 7564		1
614	653000	fus	0.15 11480	1	
614	653000	rap	0.20 6304		1
615	887000	fus	0.20 15216	1	
615	887000	rap	0.31 8200		1
616	151000	rap	0.04 2380		1
616	151000	fus	0.04 3620	1	
617	740000	fus	0.18 12852	1	
617	740000	rap	0.24 7048		1
618	940000	fus	0.24 15964	1	
618	940000	rap	0.34 8576		1
619	258000	rap	0.05 3296	1	
619	258000	fus	0.05 5320	1	
620	107000	rap	0.02 2068		1
620	107000	fus	0.02 2856	1	
621	835000	fus	0.22 14352	1	
621	835000	rap	0.30 7708		1
622	239000	rap	0.05 3148	1	
622	239000	fus	0.05 4992	1	
623	550000	fus	0.12 9840	1	
623	550000	rap	0.15 5500		1
624	894000	fus	0.20 15288	1	
624	894000	rap	0.31 8248		1
625	589000	fus	0.17 10464	1	
625	589000	rap	0.21 5868		1
626	724000	fus	0.16 12588	1	
626	724000	rap	0.23 6864		1
627	314000	fus	0.07 6176	1	
627	314000	rap	0.07 3656		1
628	633000	fus	0.14 11132	1	
628	633000	rap	0.19 6132		1
629	995000	fus	0.34 16732	1	
629	995000	rap	0.49 8980		1
630	880000	fus	0.30 15100	1	
630	880000	rap	0.42 8112		1
631	203000	rap	0.04 2848		1
631	203000	fus	0.05 4452	1	
632	613000	fus	0.14 10820	1	
632	613000	rap	0.18 6072		1
633	424000	fus	0.09 7864	1	
633	424000	rap	0.10 4544		1
634	738000	fus	0.18 12884	1	
634	738000	rap	0.24 7000		1
635	816000	fus	0.19 13984	1	
635	816000	rap	0.28 7660		1
636	111000	rap	0.02 2120		1
636	111000	fus	0.02 3020	1	
637	32000	rap	0.00 1428	1	
637	32000	fus	0.00 1784	1	
638	783000	fus	0.18 13556	1	
638	783000	rap	0.26 7252		1
639	835000	fus	0.19 14324	1	
639	835000	rap	0.28 7708		1
640	898000	fus	0.22 15344	1	
640	898000	rap	0.33 8296		1
641	271000	fus	0.06 5548		1
641	271000	rap	0.06 3396		1
642	121000	rap	0.02 2208		1
642	121000	fus	0.02 3244	1	
643	436000	fus	0.10 8080	1	
643	436000	rap	0.12 4696		1
644	511000	fus	0.11 9168	1	
644	511000	rap	0.14 5180		1
645	351000	fus	0.08 6804	1	
645	351000	rap	0.08 4040		1
646	641000	fus	0.14 11272	1	
646	641000	rap	0.19 6304		1
647	412000	fus	0.09 7676	1	
647	412000	rap	0.10 4416		1
648	641000	fus	0.15 11292	1	
648	641000	rap	0.20 6280		1
649	580000	fus	0.14 10372	1	
649	580000	rap	0.17 5812		1
650	456000	fus	0.10 8440	1	
650	456000	rap	0.12 4828		1
651	438000	fus	0.10 8120	1	
651	438000	rap	0.12 4624		1
652	554000	fus	0.12 9952	1	
652	554000	rap	0.16 5612		1
653	474000	fus	0.15 8696	1	
653	474000	rap	0.17 4928		1
654	46000	rap	0.00 1484		1
654	46000	fus	0.01 1992	1	
655	48000	rap	0.01 1668	1	
655	48000	fus	0.01 2104	1	
656	22000	rap	0.00 1440	1	
656	22000	fus	0.00 1624	1	
657	569000	fus	0.14 10168	1	
657	569000	rap	0.16 5676		1
658	963000	fus	0.22 16284	1	
658	963000	rap	0.35 8812		1
659	400000	fus	0.09 7536	1	
659	400000	rap	0.10 4332		1
660	945000	fus	0.22 16080	1	
660	945000	rap	0.35 8668		1
661	85000	rap	0.01 1932		1
661	85000	fus	0.01 2644	1	
662	437000	fus	0.10 8088	1	
662	437000	rap	0.11 4640		1
663	789000	fus	0.18 13568	1	
663	789000	rap	0.26 7444		1
664	467000	fus	0.10 8612	1	
664	467000	rap	0.12 4916		1
665	489000	fus	0.11 8920	1	
665	489000	rap	0.13 5080		1
666	319000	fus	0.07 6308	1	
666	319000	rap	0.07 3672		1
667	626000	fus	0.14 11092	1	
667	626000	rap	0.18 6188		1
668	690000	fus	0.16 12068	1	
668	690000	rap	0.21 6580		1
669	648000	fus	0.15 11400	1	
669	648000	rap	0.19 6244		1
670	682000	fus	0.16 11976	1	
670	682000	rap	0.21 6512		1
671	188000	rap	0.04 2724		1
671	188000	fus	0.04 4220	1	
672	677000	fus	0.16 11836	1	
672	677000	rap	0.22 6556		1
673	526000	fus	0.12 9484	1	
673	526000	rap	0.15 5340		1
674	554000	fus	0.12 9968	1	
674	554000	rap	0.16 5516		1
675	126000	rap	0.02 2212		1
675	126000	fus	0.03 3232	1	
676	782000	fus	0.18 13504	1	
676	782000	rap	0.26 7380		1
677	612000	fus	0.13 10844	1	
677	612000	rap	0.18 6044		1
678	778000	fus	0.18 13340	1	
678	778000	rap	0.26 7380		1
679	747000	fus	0.17 12988	1	
679	747000	rap	0.24 7108		1
680	602000	fus	0.14 10660	1	
680	602000	rap	0.17 5888		1
681	948000	fus	0.22 16068	1	
681	948000	rap	0.35 8672		1
682	348000	fus	0.08 6676	1	
682	348000	rap	0.08 3944		1
683	694000	fus	0.17 12124	1	
683	694000	rap	0.22 6688		1
684	879000	fus	0.20 15028	1	
684	879000	rap	0.30 8048		1
685	347000	fus	0.08 6776	1	
685	347000	rap	0.08 3916		1
686	783000	fus	0.19 13500	1	
686	783000	rap	0.27 7244		1
687	991000	fus	0.22 16804	1	
687	991000	rap	0.37 9020		1
688	692000	fus	0.16 12104	1	
688	692000	rap	0.21 6588		1
689	571000	fus	0.12 10204	1	
689	571000	rap	0.16 5736		1
690	256000	rap	0.05 3236	1	
690	256000	fus	0.05 5256	1	
691	229000	rap	0.05 3044		1
691	229000	fus	0.05 4856	1	
692	385000	fus	0.08 7304	1	
692	385000	rap	0.09 4264		1
693	881000	fus	0.20 15120	1	
693	881000	rap	0.31 8012		1
694	277000	fus	0.07 5572		1
694	277000	rap	0.07 3352		1
695	83000	rap	0.01 1884		1
695	83000	fus	0.01 2536	1	
696	713000	fus	0.16 12424	1	
696	713000	rap	0.22 6832		1
697	105000	rap	0.02 2100		1
697	105000	fus	0.02 3000	1	
698	328000	fus	0.08 6444	1	
698	328000	rap	0.08 3744		1
699	971000	fus	0.22 16356	1	
699	971000	rap	0.36 8772		1
700	530000	fus	0.12 9636	1	
700	530000	rap	0.14 5268		1
701	14000	rap	0.00 1380	1	
701	14000	fus	0.00 1448	1	
702	558000	fus	0.12 9972	1	
702	558000	rap	0.16 5648		1
703	168000	rap	0.03 2492		1
703	168000	fus	0.04 3896	1	
704	309000	fus	0.07 6104	1	
704	309000	rap	0.07 3596		1
705	919000	fus	0.22 15612	1	
705	919000	rap	0.34 8416		1
706	66000	rap	0.01 1768		1
706	66000	fus	0.01 2344	1	
707	677000	fus	0.16 11896	1	
707	677000	rap	0.22 6588		1
708	550000	fus	0.16 9868	1	
708	550000	rap	0.19 5580		1
709	144000	rap	0.02 2396		1
709	144000	fus	0.03 3560	1	
710	132000	rap	0.02 2284		1
710	132000	fus	0.02 3244	1	
711	742000	fus	0.20 12888	1	
711	742000	rap	0.29 7060		1
712	856000	fus	0.20 14636	1	
712	856000	rap	0.30 7964		1
713	177000	rap	0.03 2652	1	
713	177000	fus	0.04 4000	1	
714	381000	fus	0.09 7196	1	
714	381000	rap	0.10 4164		1
715	509000	fus	0.12 9212	1	
715	509000	rap	0.14 5160		1
716	822000	fus	0.21 14196	1	
716	822000	rap	0.30 7604		1
717	729000	fus	0.23 12576	1	
717	729000	rap	0.30 6976		1
718	418000	fus	0.10 7748	1	
718	418000	rap	0.11 4428		1
719	655000	fus	0.16 11516	1	
719	655000	rap	0.24 6392		1
720	321000	fus	0.08 6224	1	
720	321000	rap	0.08 3684		1
721	172000	rap	0.03 2600		1
721	172000	fus	0.04 3920	1	
722	867000	fus	0.22 14788	1	
722	867000	rap	0.32 7904		1
723	338000	fus	0.08 6464	1	
723	338000	rap	0.08 3820		1
724	776000	fus	0.18 13360	1	
724	776000	rap	0.26 7328		1
725	660000	fus	0.15 11672	1	
725	660000	rap	0.20 6360		1
726	43000	fus	0.00 1960		1
726	43000	rap	0.00 1568		1
727	288000	rap	0.07 3512	1	
727	288000	fus	0.07 5820	1	
728	928000	fus	0.20 15768	1	
728	928000	rap	0.34 8516		1
729	918000	fus	0.22 15524	1	
729	918000	rap	0.34 8436		1
730	156000	rap	0.03 2416		1
730	156000	fus	0.04 3752	1	
731	615000	fus	0.15 10844	1	
731	615000	rap	0.18 6012		1
732	75000	rap	0.01 1860		1
732	75000	fus	0.02 2408	1	
733	546000	fus	0.13 9784	1	
733	546000	rap	0.16 5532		1
734	850000	fus	0.20 14468	1	
734	850000	rap	0.30 7928		1
735	511000	fus	0.12 9304	1	
735	511000	rap	0.14 5176		1
736	90000	rap	0.01 1972		1
736	90000	fus	0.02 2684	1	
737	416000	fus	0.09 7684	1	
737	416000	rap	0.10 4380		1
738	973000	fus	0.23 16456	1	
738	973000	rap	0.36 8784		1
739	62000	rap	0.00 1744		1
739	62000	fus	0.01 2224	1	
740	920000	fus	0.22 15608	1	
740	920000	rap	0.34 8320		1
741	6000	rap	0.00 1312	1	
741	6000	fus	0.00 1404	1	
742	74000	rap	0.01 1800		1
742	74000	fus	0.02 2396	1	
743	732000	fus	0.19 12712	1	
743	732000	rap	0.26 6984		1
744	599000	fus	0.14 10648	1	
744	599000	rap	0.18 5940		1
745	664000	fus	0.16 11656	1	
745	664000	rap	0.21 6372		1
746	687000	fus	0.18 12024	1	
746	687000	rap	0.25 6652		1
747	222000	rap	0.04 2968		1
747	222000	fus	0.05 4724	1	
748	978000	fus	0.23 16592	1	
748	978000	rap	0.37 8824		1
749	759000	fus	0.18 13120	1	
749	759000	rap	0.26 7208		1
750	453000	fus	0.10 8316	1	
750	453000	rap	0.12 4764		1
751	575000	fus	0.14 10256	1	
751	575000	rap	0.17 5776		1
752	650000	fus	0.14 11392	1	
752	650000	rap	0.20 6252		1
753	274000	rap	0.06 3404	1	
753	274000	fus	0.05 5632	1	
754	229000	rap	0.04 2916		1
754	229000	fus	0.05 4848	1	
755	306000	rap	0.07 3648		1
755	306000	fus	0.06 6064		1
756	112000	rap	0.02 2072		1
756	112000	fus	0.02 3016	1	
757	171000	rap	0.03 2596		1
757	171000	fus	0.03 3924	1	
758	76000	rap	0.01 1876		1
758	76000	fus	0.01 2500	1	
759	579000	fus	0.13 10404	1	
759	579000	rap	0.16 5784		1
760	764000	fus	0.18 13196	1	
760	764000	rap	0.25 7256		1
761	995000	fus	0.23 16788	1	
761	995000	rap	0.37 9008		1
762	319000	fus	0.07 6228	1	
762	319000	rap	0.07 3756		1
763	16000	rap	0.00 1320	1	
763	16000	fus	0.00 1524	1	
764	158000	rap	0.03 2512		1
764	158000	fus	0.03 3704	1	
765	964000	fus	0.24 16372	1	
765	964000	rap	0.36 8768		1
766	247000	rap	0.05 3164	1	
766	247000	fus	0.05 5176	1	
767	954000	fus	0.32 16220	1	
767	954000	rap	0.46 8716		1
768	481000	fus	0.11 8752	1	
768	481000	rap	0.13 4988		1
769	560000	fus	0.13 9980	1	
769	560000	rap	0.16 5544		1
770	577000	fus	0.17 10296	1	
770	577000	rap	0.21 5772		1
771	445000	fus	0.10 8136	1	
771	445000	rap	0.12 4716		1
772	207000	rap	0.04 2900		1
772	207000	fus	0.05 4588	1	
773	193000	rap	0.04 2800		1
773	193000	fus	0.04 4300	1	
774	511000	fus	0.11 9244	1	
774	511000	rap	0.14 5124		1
775	37000	rap	0.00 1572		
775	37000	fus	0.00 1936	1	
776	758000	fus	0.17 13120	1	
776	758000	rap	0.24 7112		1
777	784000	fus	0.18 13524	1	
777	784000	rap	0.26 7396		1
778	417000	fus	0.09 7804	1	
778	417000	rap	0.10 4516		1
779	827000	fus	0.27 14240	1	
779	827000	rap	0.37 7720		1
780	714000	fus	0.16 12472	1	
780	714000	rap	0.22 6780		1
781	916000	fus	0.22 15576	1	
781	916000	rap	0.34 8276		1
782	396000	fus	0.10 7476	1	
782	396000	rap	0.11 4380		1
783	476000	fus	0.10 8712	1	
783	476000	rap	0.12 4992		1
784	656000	fus	0.14 11492	1	
784	656000	rap	0.20 6356		1
785	347000	fus	0.08 6656	1	
785	347000	rap	0.09 3972		1
786	690000	fus	0.16 11964	1	
786	690000	rap	0.21 6648		1
787	952000	fus	0.22 16188	1	
787	952000	rap	0.35 8700		1
788	516000	fus	0.12 9352	1	
788	516000	rap	0.14 5268		1
789	629000	fus	0.14 11184	1	
789	629000	rap	0.19 6176		1
790	862000	fus	0.20 14788	1	
790	862000	rap	0.30 8032		1
791	771000	fus	0.17 13364	1	
791	771000	rap	0.25 7212		1
792	815000	fus	0.20 14012	1	
792	815000	rap	0.28 7496		1
793	222000	rap	0.04 2920		1
793	222000	fus	0.04 4780	1	
794	16000	rap	0.00 1300	1	
794	16000	fus	0.00 1596	1	
795	935000	fus	0.22 15816	1	
