test	taille	exe	exectime	memory	mmm
80	697000	fus	0.18 12160	1	
80	697000	rap	0.26 6712		1
81	408000	fus	0.12 7656	1	
81	408000	rap	0.13 4388		1
82	976000	fus	0.27 16532	1	
82	976000	rap	0.44 8760		1
83	969000	fus	0.30 16380	1	
83	969000	rap	0.44 8844		1
84	327000	fus	0.09 6384	1	
84	327000	rap	0.09 3760		1
85	495000	fus	0.13 9008	1	
85	495000	rap	0.14 5056		1
86	804000	fus	0.20 13804	1	
86	804000	rap	0.30 7472		1
87	779000	fus	0.21 13408	1	
87	779000	rap	0.33 7316		1
88	935000	fus	0.30 15856	1	
88	935000	rap	0.44 8584		1
89	801000	fus	0.26 13868	1	
89	801000	rap	0.34 7544		1
90	544000	fus	0.14 9684	1	
90	544000	rap	0.17 5512		1
91	430000	fus	0.10 7992	1	
91	430000	rap	0.11 4644		1
92	126000	rap	0.02 2240		1
92	126000	fus	0.02 3208	1	
93	834000	fus	0.19 14284	1	
93	834000	rap	0.28 7776		1
94	322000	fus	0.07 6308	1	
94	322000	rap	0.07 3768		1
95	325000	fus	0.07 6356	1	
95	325000	rap	0.07 3724		1
96	190000	rap	0.04 2712		1
96	190000	fus	0.04 4224	1	
97	318000	fus	0.06 6200	1	
97	318000	rap	0.07 3768		1
98	657000	fus	0.14 11556	1	
98	657000	rap	0.20 6416		1
99	716000	fus	0.17 12480	1	
99	716000	rap	0.22 6868		1
100	117000	rap	0.02 2040		1
100	117000	fus	0.02 3144	1	
101	901000	fus	0.20 15364	1	
101	901000	rap	0.32 8280		1
102	840000	fus	0.20 14404	1	
102	840000	rap	0.29 7764		1
103	163000	rap	0.03 2456		1
103	163000	fus	0.04 3808	1	
104	404000	fus	0.10 7636	1	
104	404000	rap	0.11 4348		1
105	62000	rap	0.00 1744		1
105	62000	fus	0.01 2236	1	
106	186000	rap	0.03 2708		1
106	186000	fus	0.04 4224	1	
107	211000	rap	0.04 2944		1
107	211000	fus	0.04 4580	1	
108	859000	fus	0.19 14604	1	
108	859000	rap	0.30 7840		1
109	949000	fus	0.22 16120	1	
109	949000	rap	0.34 8604		1
110	634000	fus	0.14 11144	1	
110	634000	rap	0.19 6084		1
111	831000	fus	0.20 14272	1	
111	831000	rap	0.29 7624		1
112	312000	rap	0.08 3640		1
112	312000	fus	0.08 6228		1
113	277000	fus	0.06 5596		1
113	277000	rap	0.06 3400		1
114	588000	fus	0.18 10460	1	
114	588000	rap	0.22 5876		1
115	409000	fus	0.09 7656	1	
115	409000	rap	0.10 4488		1
116	423000	fus	0.08 7924	1	
116	423000	rap	0.11 4536		1
117	326000	fus	0.07 6348	1	
117	326000	rap	0.07 3780		1
118	901000	fus	0.28 15336	1	
118	901000	rap	0.40 8248		1
119	574000	fus	0.13 10228	1	
119	574000	rap	0.16 5724		1
120	745000	fus	0.21 12880	1	
120	745000	rap	0.29 6952		1
121	57000	rap	0.00 1736		1
121	57000	fus	0.01 2152	1	
122	260000	rap	0.06 3304		1
122	260000	fus	0.06 5320		1
123	810000	fus	0.18 13944	1	
123	810000	rap	0.27 7520		1
124	822000	fus	0.19 14124	1	
124	822000	rap	0.28 7608		1
125	554000	fus	0.12 9924	1	
125	554000	rap	0.16 5624		1
126	914000	fus	0.23 15568	1	
126	914000	rap	0.33 8440		1
127	10000	fus	0.00 1408	1	
127	10000	rap	0.00 1348	1	
128	287000	fus	0.06 5760	1	
128	287000	rap	0.06 3428		1
129	913000	fus	0.21 15544	1	
129	913000	rap	0.33 8324		1
130	483000	fus	0.11 8808	1	
130	483000	rap	0.13 5072		1
131	130000	rap	0.02 2200		1
131	130000	fus	0.02 3320	1	
132	905000	fus	0.22 15388	1	
132	905000	rap	0.33 8296		1
133	489000	fus	0.11 8824	1	
133	489000	rap	0.13 5080		1
134	339000	fus	0.07 6564	1	
134	339000	rap	0.08 3776		1
135	60000	fus	0.01 2124	1	
135	60000	rap	0.00 1752		1
136	237000	rap	0.05 3112	1	
136	237000	fus	0.05 4984	1	
137	814000	fus	0.20 13952	1	
137	814000	rap	0.29 7552		1
138	494000	fus	0.11 8960	1	
138	494000	rap	0.13 5084		1
139	913000	fus	0.21 15548	1	
139	913000	rap	0.33 8416		1
140	432000	fus	0.10 8068	1	
140	432000	rap	0.11 4600		1
141	78000	rap	0.01 1860		1
141	78000	fus	0.01 2528	1	
142	178000	rap	0.04 2644	1	
142	178000	fus	0.04 4072	1	
143	406000	fus	0.09 7652	1	
143	406000	rap	0.10 4444		1
144	450000	fus	0.10 8344	1	
144	450000	rap	0.12 4800		1
145	328000	fus	0.08 6404	1	
145	328000	rap	0.08 3840		1
146	86000	rap	0.01 1940	1	
146	86000	fus	0.02 2576	1	
147	630000	fus	0.15 11100	1	
147	630000	rap	0.20 6212		1
148	505000	fus	0.11 9152	1	
148	505000	rap	0.14 5212		1
149	947000	fus	0.22 16040	1	
149	947000	rap	0.34 8584		1
150	27000	rap	0.00 1492	1	
150	27000	fus	0.00 1660	1	
151	817000	fus	0.20 14032	1	
151	817000	rap	0.29 7684		1
152	625000	fus	0.15 11056	1	
152	625000	rap	0.20 6088		1
153	776000	fus	0.18 13440	1	
153	776000	rap	0.26 7320		1
154	717000	fus	0.16 12488	1	
154	717000	rap	0.22 6860		1
155	252000	rap	0.06 3156	1	
155	252000	fus	0.06 5176	1	
156	656000	fus	0.14 11432	1	
156	656000	rap	0.20 6400		1
157	266000	rap	0.05 3304	1	
157	266000	fus	0.06 5448	1	
158	302000	fus	0.08 5900		1
158	302000	rap	0.08 3648		1
159	218000	rap	0.04 2884		1
159	218000	fus	0.04 4640	1	
160	197000	rap	0.04 2736	1	
160	197000	fus	0.05 4360	1	
161	945000	fus	0.22 16048	1	
161	945000	rap	0.34 8588		1
162	891000	fus	0.20 15236	1	
162	891000	rap	0.31 8152		1
163	34000	rap	0.00 1500		1
163	34000	fus	0.00 1820	1	
164	30000	rap	0.00 1512	1	
164	30000	fus	0.00 1756	1	
165	730000	fus	0.18 12660	1	
165	730000	rap	0.24 6932		1
166	836000	fus	0.20 14384	1	
166	836000	rap	0.31 7736		1
167	199000	fus	0.04 4464	1	
167	199000	rap	0.04 2824		1
168	8000	fus	0.00 1400		1
168	8000	rap	0.00 1184		1
169	251000	rap	0.06 3248		
169	251000	fus	0.06 5180	1	
170	388000	fus	0.09 7336	1	
170	388000	rap	0.10 4308		1
171	759000	fus	0.17 13144	1	
171	759000	rap	0.25 7160		1
172	315000	fus	0.07 6212	1	
172	315000	rap	0.07 3644		1
173	14000	rap	0.00 1232	1	
173	14000	fus	0.00 1448	1	
174	317000	fus	0.07 6232	1	
174	317000	rap	0.07 3760		1
175	807000	fus	0.19 13920	1	
175	807000	rap	0.28 7584		1
176	298000	rap	0.07 3456		1
176	298000	fus	0.07 5940		1
177	3000	fus	0.00 1360	1	
177	3000	rap	0.00 1300	1	
178	422000	fus	0.09 7776	1	
178	422000	rap	0.10 4424		1
179	446000	fus	0.10 8288	1	
179	446000	rap	0.12 4684		1
180	691000	fus	0.20 12084	1	
180	691000	rap	0.28 6696		1
181	543000	fus	0.13 9768	1	
181	543000	rap	0.16 5372		1
182	482000	fus	0.10 8888	1	
182	482000	rap	0.13 4968		1
183	497000	fus	0.11 9120	1	
183	497000	rap	0.13 5088		1
184	858000	fus	0.19 14712	1	
184	858000	rap	0.30 7996		1
185	616000	fus	0.15 10920	1	
185	616000	rap	0.19 6000		1
186	149000	rap	0.02 2360		1
186	149000	fus	0.03 3648	1	
187	665000	fus	0.15 11644	1	
187	665000	rap	0.20 6420		1
188	240000	rap	0.05 3056		1
188	240000	fus	0.05 5032	1	
189	141000	rap	0.03 2288		1
189	141000	fus	0.03 3472	1	
190	401000	fus	0.09 7568	1	
190	401000	rap	0.10 4396		1
191	331000	fus	0.08 6464	1	
191	331000	rap	0.08 3844		1
192	849000	fus	0.20 14516	1	
192	849000	rap	0.30 7904		1
193	426000	fus	0.10 7940	1	
193	426000	rap	0.11 4512		1
194	299000	rap	0.06 3596	1	
194	299000	fus	0.06 5908	1	
195	494000	fus	0.11 8972	1	
195	494000	rap	0.13 5084		1
196	613000	fus	0.14 10856	1	
196	613000	rap	0.18 6076		1
197	233000	rap	0.06 3056		1
197	233000	fus	0.06 4824	1	
198	809000	fus	0.18 13956	1	
198	809000	rap	0.27 7532		1
199	298000	rap	0.06 3624	1	
199	298000	fus	0.06 5840	1	
200	896000	fus	0.29 15268	1	
200	896000	rap	0.40 8276		1
201	285000	fus	0.06 5732		1
201	285000	rap	0.06 3504		1
202	676000	fus	0.16 11748	1	
202	676000	rap	0.22 6572		1
203	26000	rap	0.00 1404	1	
203	26000	fus	0.00 1664	1	
204	868000	fus	0.20 14820	1	
204	868000	rap	0.30 7968		1
205	822000	fus	0.19 14200	1	
205	822000	rap	0.28 7660		1
206	487000	fus	0.11 8796	1	
206	487000	rap	0.13 5096		1
207	941000	fus	0.21 15956	1	
207	941000	rap	0.34 8616		1
208	518000	fus	0.12 9356	1	
208	518000	rap	0.15 5312		1
209	418000	fus	0.09 7808	1	
209	418000	rap	0.10 4496		1
210	819000	fus	0.20 14088	1	
210	819000	rap	0.28 7660		1
211	170000	rap	0.04 2564		1
211	170000	fus	0.04 3940	1	
212	336000	fus	0.07 6532	1	
212	336000	rap	0.08 3912		1
213	269000	rap	0.06 3304		1
213	269000	fus	0.06 5448		1
214	658000	fus	0.15 11544	1	
214	658000	rap	0.20 6440		1
215	160000	rap	0.02 2432		1
215	160000	fus	0.03 3776	1	
216	723000	fus	0.17 12652	1	
216	723000	rap	0.23 6936		1
217	942000	fus	0.22 15900	1	
217	942000	rap	0.35 8596		1
218	516000	fus	0.13 9356	1	
218	516000	rap	0.15 5220		1
219	677000	fus	0.16 11896	1	
219	677000	rap	0.22 6524		1
220	192000	rap	0.04 2736		1
220	192000	fus	0.05 4188	1	
221	817000	fus	0.19 14032	1	
221	817000	rap	0.28 7572		1
222	937000	fus	0.22 15952	1	
222	937000	rap	0.34 8456		1
223	903000	fus	0.20 15364	1	
223	903000	rap	0.32 8336		1
224	41000	rap	0.00 1580		1
224	41000	fus	0.00 1924	1	
225	169000	rap	0.03 2548		1
225	169000	fus	0.04 3884	1	
226	940000	fus	0.23 15944	1	
226	940000	rap	0.35 8528		1
227	686000	fus	0.15 12024	1	
227	686000	rap	0.21 6540		1
228	98000	rap	0.01 2044		1
228	98000	fus	0.02 2848	1	
229	418000	fus	0.10 7888	1	
229	418000	rap	0.12 4564		1
230	691000	fus	0.16 12036	1	
230	691000	rap	0.21 6636		1
231	177000	rap	0.04 2640		1
231	177000	fus	0.04 4000	1	
232	690000	fus	0.16 12072	1	
232	690000	rap	0.22 6680		1
233	601000	fus	0.15 10668	1	
233	601000	rap	0.17 5968		1
234	942000	fus	0.22 15972	1	
234	942000	rap	0.34 8644		1
235	238000	rap	0.05 3144	1	
235	238000	fus	0.05 4988	1	
236	142000	rap	0.02 2372		1
236	142000	fus	0.03 3472	1	
237	799000	fus	0.18 13752	1	
237	799000	rap	0.26 7540		1
238	181000	rap	0.03 2648		1
238	181000	fus	0.04 4012	1	
239	478000	fus	0.11 8712	1	
239	478000	rap	0.13 5008		1
240	53000	rap	0.00 1672		1
240	53000	fus	0.01 2012	1	
241	128000	rap	0.02 2232		1
241	128000	fus	0.02 3292	1	
242	462000	fus	0.10 8496	1	
242	462000	rap	0.12 4892		1
243	481000	fus	0.11 8784	1	
243	481000	rap	0.13 5040		1
244	628000	fus	0.14 11132	1	
244	628000	rap	0.19 6180		1
245	718000	fus	0.16 12540	1	
245	718000	rap	0.22 6904		1
246	463000	fus	0.10 8512	1	
246	463000	rap	0.12 4900		1
247	209000	fus	0.04 4524	1	
247	209000	rap	0.04 2868	1	
248	290000	fus	0.06 5792		1
248	290000	rap	0.06 3464		1
249	861000	fus	0.20 14704	1	
249	861000	rap	0.30 7920		1
250	879000	fus	0.30 14992	1	
250	879000	rap	0.42 8100		1
251	962000	fus	0.23 16308	1	
251	962000	rap	0.36 8800		1
252	987000	fus	0.23 16656	1	
252	987000	rap	0.36 8940		1
253	867000	fus	0.20 14808	1	
