test	taille	exe	exectime	memory	mmm
48	442300	fusDec	0.11 8416	1
48	442300	fusCroi	0.10 8164	1
48	442300	fusAlea	0.12 8264	1
49	242500	fusAlea	0.06 5024	1
49	242500	fusCroi	0.05 5104	1
49	242500	fusDec	0.07 5260	1
50	327720	fusCroi	0.06 6404	1
50	327720	fusAlea	0.08 6388	1
50	327720	fusDec	0.10 6636	1
51	364220	fusCroi	0.06 7008	1
51	364220	fusAlea	0.12 6944	1
51	364220	fusDec	0.12 7060	1
52	8760	fusCroi	0.00 1416	1
52	8760	fusDec	0.00 1688	1
52	8760	fusAlea	0.00 1420	1
53	23440	fusCroi	0.00 1620	1
53	23440	fusAlea	0.00 1620	1
53	23440	fusDec	0.00 1804	1
54	86580	fusCroi	0.01 2708	1
54	86580	fusAlea	0.02 2640	1
54	86580	fusDec	0.02 2828	1
55	371380	fusCroi	0.06 7096	1
55	371380	fusAlea	0.10 7096	1
55	371380	fusDec	0.12 7356	1
56	461180	fusCroi	0.11 8488	1
56	461180	fusAlea	0.13 8476	1
56	461180	fusDec	0.14 8680	1
57	224280	fusCroi	0.05 4860	1
57	224280	fusAlea	0.06 4828	1
57	224280	fusDec	0.06 5008	1
58	124340	fusCroi	0.01 3252	1
58	124340	fusAlea	0.03 3124	1
58	124340	fusDec	0.04 3452	1
59	606060	fusCroi	0.15 10704	1
59	606060	fusAlea	0.18 10728	1
59	606060	fusDec	0.22 10932	1
60	25560	fusAlea	0.00 1632	1
60	25560	fusCroi	0.00 1632	1
60	25560	fusDec	0.00 1848	1
61	407620	fusDec	0.09 7832	1
61	407620	fusCroi	0.10 7608	1
61	407620	fusAlea	0.12 7680	1
62	18540	fusCroi	0.00 1472	1
62	18540	fusDec	0.00 1740	1
62	18540	fusAlea	0.00 1572	1
63	419860	fusDec	0.10 8112	1
63	419860	fusCroi	0.10 7836	1
63	419860	fusAlea	0.12 7880	1
64	521000	fusCroi	0.08 9376	1
64	521000	fusAlea	0.15 9376	1
64	521000	fusDec	0.16 9584	1
65	328520	fusCroi	0.05 6384	1
65	328520	fusAlea	0.09 6404	1
65	328520	fusDec	0.10 6588	1
66	210320	fusAlea	0.05 4596	1
66	210320	fusCroi	0.04 4544	1
66	210320	fusDec	0.07 4800	1
67	581620	fusAlea	0.14 10400	1
67	581620	fusCroi	0.14 10356	1
67	581620	fusDec	0.19 10552	1
68	648260	fusAlea	0.17 11376	1
68	648260	fusCroi	0.16 11412	1
68	648260	fusDec	0.19 11596	1
69	631100	fusCroi	0.13 11176	1
69	631100	fusDec	0.18 11324	1
69	631100	fusAlea	0.19 11184	1
70	33580	fusCroi	0.00 1704	1
70	33580	fusAlea	0.00 1840	1
70	33580	fusDec	0.00 2076	1
71	371380	fusCroi	0.08 7112	1
71	371380	fusAlea	0.10 7160	1
71	371380	fusDec	0.12 7272	1
72	316060	fusCroi	0.07 6212	1
72	316060	fusAlea	0.08 6180	1
72	316060	fusDec	0.09 6380	1
73	487320	fusCroi	0.10 8852	1
73	487320	fusDec	0.13 9088	1
73	487320	fusAlea	0.14 8932	1
74	555960	fusCroi	0.11 10000	1
74	555960	fusDec	0.16 10164	1
74	555960	fusAlea	0.16 9968	1
75	220600	fusCroi	0.04 4764	1
75	220600	fusAlea	0.05 4692	1
75	220600	fusDec	0.07 4940	1
76	298540	fusCroi	0.07 5924	1
76	298540	fusAlea	0.07 5980	1
76	298540	fusDec	0.10 6148	1
77	399600	fusAlea	0.10 7524	1
77	399600	fusCroi	0.09 7532	1
77	399600	fusDec	0.13 7700	1
78	652060	fusCroi	0.12 11468	1
78	652060	fusDec	0.20 11660	1
78	652060	fusAlea	0.20 11464	1
79	341580	fusCroi	0.08 6600	1
79	341580	fusDec	0.09 6780	1
79	341580	fusAlea	0.09 6576	1
80	302620	fusDec	0.07 6224	1
80	302620	fusCroi	0.07 5984	1
80	302620	fusAlea	0.09 6020	1
81	154120	fusDec	0.04 3964	1
81	154120	fusAlea	0.04 3652	1
81	154120	fusCroi	0.03 3588	1
82	587620	fusCroi	0.12 10368	1
82	587620	fusDec	0.17 10676	1
82	587620	fusAlea	0.18 10464	1
83	26260	fusAlea	0.00 1656	1
83	26260	fusCroi	0.00 1700	1
83	26260	fusDec	0.00 1888	1
84	318900	fusDec	0.07 6532	1
84	318900	fusCroi	0.07 6216	1
84	318900	fusAlea	0.09 6272	1
85	533640	fusCroi	0.09 9620	1
85	533640	fusDec	0.18 9848	1
85	533640	fusAlea	0.15 9616	1
86	302260	fusCroi	0.05 5984	1
86	302260	fusDec	0.09 6188	1
86	302260	fusAlea	0.09 6036	1
87	497500	fusAlea	0.12 9012	1
87	497500	fusCroi	0.12 9056	1
87	497500	fusDec	0.16 9248	1
88	427780	fusCroi	0.09 7944	1
88	427780	fusDec	0.12 8128	1
88	427780	fusAlea	0.13 7920	1
89	615260	fusDec	0.15 11164	1
89	615260	fusCroi	0.15 10900	1
89	615260	fusAlea	0.20 10856	1
90	569720	fusCroi	0.13 10188	1
90	569720	fusDec	0.15 10272	1
90	569720	fusAlea	0.16 10192	1
91	110860	fusAlea	0.02 3040	1
91	110860	fusCroi	0.02 3048	1
91	110860	fusDec	0.03 3204	1
92	343980	fusCroi	0.07 6684	1
92	343980	fusAlea	0.09 6648	1
92	343980	fusDec	0.10 6880	1
93	491120	fusCroi	0.08 8996	1
93	491120	fusDec	0.14 9136	1
93	491120	fusAlea	0.14 8928	1
94	51640	fusAlea	0.01 2084	1
94	51640	fusCroi	0.00 2048	1
94	51640	fusDec	0.01 2256	1
95	446620	fusCroi	0.10 8244	1
95	446620	fusAlea	0.12 8216	1
95	446620	fusDec	0.13 8452	1
96	564880	fusCroi	0.10 10012	1
96	564880	fusDec	0.16 10340	1
96	564880	fusAlea	0.17 10148	1
97	550020	fusCroi	0.12 9860	1
97	550020	fusDec	0.15 10068	1
97	550020	fusAlea	0.16 9908	1
98	612100	fusCroi	0.15 10744	1
98	612100	fusAlea	0.18 10844	1
98	612100	fusDec	0.19 11016	1
99	465860	fusAlea	0.11 8556	1
99	465860	fusCroi	0.11 8520	1
99	465860	fusDec	0.16 8828	1
100	404240	fusDec	0.11 7820	1
100	404240	fusCroi	0.09 7672	1
100	404240	fusAlea	0.13 7584	1
101	18860	fusCroi	0.00 1648	1
101	18860	fusDec	0.00 1844	1
101	18860	fusAlea	0.00 1528	1
102	494100	fusDec	0.11 9236	1
102	494100	fusCroi	0.12 8992	1
102	494100	fusAlea	0.16 8956	1
103	583260	fusCroi	0.11 10396	1
103	583260	fusAlea	0.19 10432	1
103	583260	fusDec	0.22 10588	1
104	46000	fusCroi	0.00 1992	1
104	46000	fusAlea	0.01 2000	1
104	46000	fusDec	0.01 2184	1
105	16600	fusAlea	0.00 1496	1
105	16600	fusCroi	0.00 1572	1
105	16600	fusDec	0.00 1768	1
106	592820	fusCroi	0.13 10440	1
106	592820	fusAlea	0.16 10616	1
106	592820	fusDec	0.20 10628	1
107	287180	fusDec	0.08 6040	1
107	287180	fusAlea	0.08 5668	1
107	287180	fusCroi	0.07 5776	1
108	184720	fusCroi	0.04 4136	1
108	184720	fusAlea	0.04 4172	1
108	184720	fusDec	0.05 4436	1
109	411240	fusAlea	0.10 7684	1
109	411240	fusCroi	0.10 7740	1
109	411240	fusDec	0.14 7932	1
110	431260	fusDec	0.11 8224	1
110	431260	fusCroi	0.10 8012	1
110	431260	fusAlea	0.13 8028	1
111	101240	fusCroi	0.01 2868	1
111	101240	fusAlea	0.03 2760	1
111	101240	fusDec	0.03 3132	1
112	256080	fusDec	0.06 5372	1
112	256080	fusCroi	0.05 5276	1
112	256080	fusAlea	0.07 5268	1
113	356540	fusCroi	0.06 6880	1
113	356540	fusDec	0.10 7012	1
113	356540	fusAlea	0.11 6856	1
114	460900	fusCroi	0.10 8560	1
114	460900	fusDec	0.13 8756	1
114	460900	fusAlea	0.13 8488	1
115	9320	fusCroi	0.00 1420	1
115	9320	fusAlea	0.00 1376	1
115	9320	fusDec	0.00 1588	1
116	132240	fusDec	0.02 3576	1
116	132240	fusCroi	0.03 3376	1
116	132240	fusAlea	0.04 3328	1
117	345420	fusCroi	0.08 6636	1
117	345420	fusDec	0.09 6900	1
117	345420	fusAlea	0.10 6756	1
118	598260	fusCroi	0.12 10608	1
118	598260	fusAlea	0.16 10604	1
118	598260	fusDec	0.18 10828	1
119	570940	fusCroi	0.12 10108	1
119	570940	fusAlea	0.18 10204	1
119	570940	fusDec	0.16 10472	1
120	188160	fusCroi	0.04 4124	1
120	188160	fusAlea	0.04 4216	1
120	188160	fusDec	0.06 4436	1
121	417740	fusCroi	0.09 7812	1
121	417740	fusDec	0.10 8036	1
121	417740	fusAlea	0.12 7840	1
122	306600	fusCroi	0.06 6064	1
122	306600	fusAlea	0.08 6060	1
122	306600	fusDec	0.09 6240	1
123	637920	fusCroi	0.11 11232	1
123	637920	fusAlea	0.16 11200	1
123	637920	fusDec	0.21 11472	1
124	609360	fusCroi	0.12 10704	1
124	609360	fusAlea	0.18 10800	1
124	609360	fusDec	0.19 10976	1
125	451060	fusCroi	0.10 8316	1
125	451060	fusAlea	0.12 8228	1
125	451060	fusDec	0.14 8540	1
126	638320	fusCroi	0.12 11228	1
126	638320	fusAlea	0.18 11156	1
126	638320	fusDec	0.20 11416	1
127	108960	fusAlea	0.02 3016	1
127	108960	fusCroi	0.02 2960	1
127	108960	fusDec	0.03 3252	1
128	232280	fusCroi	0.04 4908	1
128	232280	fusAlea	0.06 4864	1
