test	taille	tri	tableau	exectime	memory
28	25622		decroissant	0.00 1248
28	25622		triPartiel	0.00 1176
28	25622		croissant	0.00 1252
28	25622		decroissant	0.00 1172
28	25622		triPartiel	0.00 1256
29	2433		croissant	0.00 1212
29	2433		decroissant	0.00 1168
29	2433		triPartiel	0.00 1204
29	2433		croissant	0.00 1228
29	2433		decroissant	0.00 1212
29	2433		triPartiel	0.00 1172
30	14893		croissant	0.00 1204
30	14893		decroissant	0.00 1172
30	14893		triPartiel	0.00 1252
30	14893		croissant	0.00 1228
30	14893		decroissant	0.00 1216
30	14893		triPartiel	0.00 1172
31	15694		croissant	0.00 1168
31	15694		decroissant	0.00 1160
31	15694		triPartiel	0.00 1160
31	15694		croissant	0.00 1248
31	15694		decroissant	0.00 1220
31	15694		triPartiel	0.00 1208
32	7118		croissant	0.00 1180
32	7118		decroissant	0.00 1168
32	7118		triPartiel	0.00 1196
32	7118		croissant	0.00 1256
32	7118		decroissant	0.00 1196
32	7118		triPartiel	0.00 1196
33	13624		croissant	0.00 1216
33	13624		decroissant	0.00 1192
33	13624		triPartiel	0.00 1252
33	13624		croissant	0.00 1180
33	13624		decroissant	0.00 1204
33	13624		triPartiel	0.00 1216
34	14262		croissant	0.00 1172
34	14262		decroissant	0.00 1184
34	14262		triPartiel	0.00 1172
34	14262		croissant	0.00 1168
34	14262		decroissant	0.00 1176
34	14262		triPartiel	0.00 1176
35	26933		croissant	0.00 1216
35	26933		decroissant	0.00 1180
35	26933		triPartiel	0.00 1216
35	26933		croissant	0.00 1156
35	26933		decroissant	0.00 1192
35	26933		triPartiel	0.00 1252
36	18170		croissant	0.00 1172
36	18170		decroissant	0.00 1220
36	18170		triPartiel	0.00 1172
36	18170		croissant	0.00 1208
36	18170		decroissant	0.00 1196
36	18170		triPartiel	0.00 1204
37	2873		croissant	0.00 1228
37	2873		decroissant	0.00 1216
37	2873		triPartiel	0.00 1204
37	2873		croissant	0.00 1216
37	2873		decroissant	0.00 1172
37	2873		triPartiel	0.00 1216
38	5341		croissant	0.00 1172
38	5341		decroissant	0.00 1168
38	5341		triPartiel	0.00 1204
38	5341		croissant	0.00 1160
38	5341		decroissant	0.00 1184
38	5341		triPartiel	0.00 1248
39	2398		croissant	0.00 1180
39	2398		decroissant	0.00 1252
39	2398		triPartiel	0.00 1192
39	2398		croissant	0.00 1168
39	2398		decroissant	0.00 1216
39	2398		triPartiel	0.00 1168
40	19497		croissant	0.00 1180
40	19497		decroissant	0.00 1256
40	19497		triPartiel	0.00 1248
40	19497		croissant	0.00 1180
40	19497		decroissant	0.00 1196
40	19497		triPartiel	0.00 1168
41	27860		croissant	0.00 1160
41	27860		decroissant	0.00 1176
41	27860		triPartiel	0.00 1228
41	27860		croissant	0.00 1168
41	27860		decroissant	0.00 1172
41	27860		triPartiel	0.00 1220
42	10426		croissant	0.00 1172
42	10426		decroissant	0.00 1216
42	10426		triPartiel	0.00 1248
42	10426		croissant	0.00 1168
42	10426		decroissant	0.00 1212
42	10426		triPartiel	0.00 1160
43	28426		croissant	0.00 1172
43	28426		decroissant	0.00 1204
43	28426		triPartiel	0.00 1160
43	28426		croissant	0.00 1176
43	28426		decroissant	0.00 1180
43	28426		triPartiel	0.00 1244
44	8072		croissant	0.00 1224
44	8072		decroissant	0.00 1172
44	8072		triPartiel	0.00 1228
44	8072		croissant	0.00 1172
44	8072		decroissant	0.00 1168
44	8072		triPartiel	0.00 1192
45	20391		croissant	0.00 1256
45	20391		decroissant	0.00 1220
45	20391		triPartiel	0.00 1192
45	20391		croissant	0.00 1252
45	20391		decroissant	0.00 1168
45	20391		triPartiel	0.00 1180
46	12677		croissant	0.00 1196
46	12677		decroissant	0.00 1228
46	12677		triPartiel	0.00 1212
46	12677		croissant	0.00 1256
46	12677		decroissant	0.00 1180
46	12677		triPartiel	0.00 1216
47	18483		croissant	0.00 1196
47	18483		decroissant	0.00 1196
47	18483		triPartiel	0.00 1160
47	18483		croissant	0.00 1212
47	18483		decroissant	0.00 1192
47	18483		triPartiel	0.00 1176
48	17703		croissant	0.00 1164
48	17703		decroissant	0.00 1252
48	17703		triPartiel	0.00 1184
48	17703		croissant	0.00 1256
48	17703		decroissant	0.00 1220
48	17703		triPartiel	0.00 1228
49	19625		croissant	0.00 1192
49	19625		decroissant	0.00 1252
49	19625		triPartiel	0.00 1196
49	19625		croissant	0.00 1168
49	19625		decroissant	0.00 1216
49	19625		triPartiel	0.00 1188
50	9069		croissant	0.00 1252
50	9069		decroissant	0.00 1176
50	9069		triPartiel	0.00 1196
50	9069		croissant	0.00 1172
50	9069		decroissant	0.00 1208
50	9069		triPartiel	0.00 1172
51	28467		croissant	0.00 1256
51	28467		decroissant	0.00 1196
51	28467		triPartiel	0.00 1220
51	28467		croissant	0.00 1192
51	28467		decroissant	0.00 1184
51	28467		triPartiel	0.00 1248
52	15798		croissant	0.00 1196
52	15798		decroissant	0.00 1256
52	15798		triPartiel	0.00 1168
52	15798		croissant	0.00 1168
52	15798		decroissant	0.00 1256
52	15798		triPartiel	0.00 1212
53	17081		croissant	0.00 1180
53	17081		decroissant	0.00 1220
53	17081		triPartiel	0.00 1248
53	17081		croissant	0.00 1212
53	17081		decroissant	0.00 1240
53	17081		triPartiel	0.00 1228
54	21834		croissant	0.00 1196
54	21834		decroissant	0.00 1172
54	21834		triPartiel	0.00 1220
54	21834		croissant	0.00 1188
54	21834		decroissant	0.00 1196
54	21834		triPartiel	0.00 1168
55	10506		croissant	0.00 1248
55	10506		decroissant	0.00 1180
55	10506		triPartiel	0.00 1216
55	10506		croissant	0.00 1212
55	10506		decroissant	0.00 1212
55	10506		triPartiel	0.00 1156
56	32199		croissant	0.00 1220
56	32199		decroissant	0.00 1196
56	32199		triPartiel	0.00 1196
56	32199		croissant	0.00 1192
56	32199		decroissant	0.00 1192
56	32199		triPartiel	0.00 1168
57	18762		croissant	0.00 1216
57	18762		decroissant	0.00 1180
