test	taille	exe	exectime	memory	mmm
61	32000	fus	0.00 1680	1		
61	32000	ins	1.55 1508			1
61	32000	rap	1.72 3484		1	
62	8000	fus	0.00 1432	1		
62	8000	ins	0.10 1184			1
62	8000	rap	0.10 1728		1	
63	9000	fus	0.00 1372	1		
63	9000	ins	0.13 1248			1
63	9000	rap	0.14 1896		1	
64	52000	fus	0.00 2048	1		
64	52000	ins	4.05 1700			1
64	52000	rap	4.52 4820		1	
65	48000	fus	0.00 1992	1		
65	48000	ins	3.46 1632			1
65	48000	rap	3.85 4468		1	
66	59000	fus	0.00 2184	1		
66	59000	ins	5.21 1724			1
66	59000	rap	5.81 5384		1	
67	10000	fus	0.00 1508	1		
67	10000	ins	0.20 1276			1
67	10000	rap	0.22 1944		1	
68	34000	fus	0.00 1840	1		
68	34000	ins	1.78 1464			1
68	34000	rap	1.95 3656		1	
69	10000	fus	0.00 1468	1		
69	10000	ins	0.18 1308			1
69	10000	rap	0.20 1872		1	
70	18000	fus	0.00 1604	1		
70	18000	ins	0.50 1316			1
70	18000	rap	0.57 2524		1	
71	57000	fus	0.01 2208	1		
71	57000	ins	5.54 1572			1
71	57000	rap	6.00 5248		1	
72	40000	fus	0.00 1908	1		
72	40000	ins	2.42 1540			1
72	40000	rap	2.69 3988		1	
73	0	ins	0.00 1124			
73	0	rap	0.00 1180			
73	0	fus	0.00 1276			
74	42000	fus	0.00 1932	1		
74	42000	ins	2.70 1612			1
74	42000	rap	3.00 4052		1	
75	20000	fus	0.00 1628	1		
75	20000	ins	0.62 1284			1
75	20000	rap	0.70 2648		1	
76	48000	fus	0.00 2040	1		
76	48000	ins	3.71 1560			1
76	48000	rap	4.08 4540		1	
77	41000	fus	0.00 1996	1		
77	41000	ins	2.80 1508			1
77	41000	rap	3.05 4040		1	
78	18000	fus	0.00 1572	1		
78	18000	ins	0.50 1376			1
78	18000	rap	0.55 2532		1	
79	41000	fus	0.00 1876	1		
79	41000	ins	2.71 1604			1
79	41000	rap	3.05 4140		1	
80	34000	fus	0.00 1792	1		
80	34000	ins	2.41 1500			1
80	34000	rap	2.60 3624		1	
81	29000	fus	0.00 1728	1		
81	29000	ins	1.30 1392			1
81	29000	rap	1.47 3244		1	
82	48000	fus	0.00 2064	1		
82	48000	ins	4.05 1656			1
82	48000	rap	4.45 4600		1	
83	31000	fus	0.00 1796	1		
83	31000	ins	1.57 1424			1
83	31000	rap	1.67 3444		1	
84	53000	fus	0.01 2184	1		
84	53000	ins	4.28 1596			1
84	53000	rap	4.84 4952		1	
85	48000	fus	0.00 2108	1		
85	48000	ins	4.22 1652			1
85	48000	rap	4.60 4520		1	
86	26000	fus	0.00 1644	1		
86	26000	ins	1.35 1380			1
86	26000	rap	1.48 3088		1	
87	18000	fus	0.00 1516	1		
87	18000	ins	0.61 1412			1
87	18000	rap	0.66 2440		1	
88	17000	fus	0.00 1624	1		
88	17000	ins	0.58 1392			1
88	17000	rap	0.61 2368		1	
89	33000	fus	0.00 1872	1		
89	33000	ins	2.28 1444			1
89	33000	rap	2.40 3468		1	
90	57000	fus	0.01 2128	1		
90	57000	ins	5.73 1708			1
90	57000	rap	6.00 5096		1	
91	12000	fus	0.00 1472	1		
91	12000	ins	0.25 1348			1
91	12000	rap	0.27 2064		1	
92	3000	fus	0.00 1336	1		
92	3000	ins	0.01 1224			1
92	3000	rap	0.02 1392		1	
93	54000	fus	0.01 2088	1		
93	54000	ins	4.56 1596			1
93	54000	rap	4.98 5040		1	
94	57000	fus	0.01 2180	1		
94	57000	ins	5.19 1632			1
94	57000	rap	5.72 5148		1	
95	40000	fus	0.00 1980	1		
95	40000	ins	2.88 1436			1
95	40000	rap	3.10 4068		1	
96	38000	fus	0.00 1880	1		
96	38000	ins	2.30 1552			1
96	38000	rap	2.52 3928		1	
97	22000	fus	0.00 1620	1		
97	22000	ins	0.82 1432			1
97	22000	rap	0.88 2732		1	
98	53000	fus	0.01 2112	1		
98	53000	ins	4.30 1648			1
98	53000	rap	4.82 4924		1	
99	54000	fus	0.01 2112	1		
99	54000	ins	4.40 1712			1
99	54000	rap	4.96 4948		1	
100	54000	fus	0.00 2124	1		
100	54000	ins	4.47 1716			1
100	54000	rap	4.98 4960		1	
101	47000	fus	0.00 2016	1		
101	47000	ins	3.34 1628			1
101	47000	rap	3.75 4456		1	
102	32000	fus	0.00 1812	1		
102	32000	ins	1.70 1508			1
102	32000	rap	1.86 3408		1	
103	22000	fus	0.00 1580	1		
103	22000	ins	0.74 1464			1
103	22000	rap	0.82 2724		1	
104	18000	fus	0.00 1596	1		
104	18000	ins	0.54 1420			1
104	18000	rap	0.56 2428		1	
105	16000	fus	0.00 1564	1		
105	16000	ins	0.40 1344			1
105	16000	rap	0.44 2308		1	
106	51000	fus	0.01 2032	1		
