test	taille	exe	exectime	memory	mmm
53	41000	rap	0.00 1448		1	
53	41000	ins	1.21 1500			1
54	10000	fus	0.00 1440	1		
54	10000	rap	0.00 1308	1		
54	10000	ins	0.07 1300			1
55	1000	rap	0.00 1292			1
55	1000	fus	0.00 1304			1
55	1000	ins	0.00 1188			1
56	5000	fus	0.00 1392	1		
56	5000	rap	0.00 1312	1		
56	5000	ins	0.02 1284			1
57	11000	rap	0.00 1340		1	
57	11000	fus	0.00 1424	1		
57	11000	ins	0.09 1360			1
58	4000	fus	0.00 1348		1	
58	4000	rap	0.00 1284		1	
58	4000	ins	0.01 1216			1
59	57000	rap	0.01 1656		1	
59	57000	fus	0.01 2128		1	
59	57000	ins	2.34 1724			1
60	57000	rap	0.00 1680		1	
60	57000	fus	0.01 2180	1		
60	57000	ins	2.34 1708			1
61	32000	rap	0.00 1452	1		
61	32000	fus	0.00 1792	1		
61	32000	ins	0.74 1428			1
62	12000	fus	0.00 1492	1		
62	12000	rap	0.00 1376	1		
62	12000	ins	0.10 1276			1
63	38000	rap	0.00 1496	1		
63	38000	fus	0.00 1912	1		
63	38000	ins	1.04 1480			1
64	40000	rap	0.00 1540	1		
64	40000	fus	0.01 1936	1		
64	40000	ins	1.14 1608			1
65	18000	rap	0.00 1428	1		
65	18000	fus	0.00 1536	1		
65	18000	ins	0.24 1404			1
66	14000	rap	0.00 1384	1		
66	14000	fus	0.00 1496	1		
66	14000	ins	0.14 1376			1
67	11000	fus	0.00 1404	1		
67	11000	rap	0.00 1260	1		
67	11000	ins	0.09 1360			1
68	13000	fus	0.00 1460	1		
68	13000	rap	0.00 1380	1		
68	13000	ins	0.12 1276			1
69	35000	rap	0.00 1472		1	
69	35000	fus	0.00 1816	1		
69	35000	ins	0.88 1396			1
70	31000	rap	0.00 1476		1	
70	31000	fus	0.00 1840	1		
70	31000	ins	0.69 1472			1
71	41000	rap	0.00 1584		1	
71	41000	fus	0.01 1924	1		
71	41000	ins	1.21 1508			1
72	15000	rap	0.00 1292	1		
72	15000	fus	0.00 1548	1		
72	15000	ins	0.16 1368			1
73	36000	fus	0.00 1880	1		
73	36000	rap	0.00 1544		1	
73	36000	ins	0.92 1560			1
74	13000	rap	0.00 1360		1	
74	13000	fus	0.00 1480	1		
74	13000	ins	0.12 1296			1
75	43000	fus	0.00 1948		1	
75	43000	rap	0.00 1628		1	
75	43000	ins	1.33 1604			1
76	43000	fus	0.00 1984	1		
76	43000	rap	0.00 1568		1	
76	43000	ins	1.33 1560			1
77	34000	fus	0.00 1848	1		
77	34000	rap	0.00 1444	1		
77	34000	ins	0.83 1452			1
78	57000	rap	0.01 1632		1	
78	57000	fus	0.01 2208		1	
78	57000	ins	2.34 1732			1
79	11000	fus	0.00 1452	1		
79	11000	rap	0.00 1336		1	
79	11000	ins	0.08 1260			1
80	48000	fus	0.00 2028		1	
80	48000	rap	0.01 1644		1	
80	48000	ins	1.66 1660			1
81	3000	fus	0.00 1336		1	
81	3000	rap	0.00 1300		1	
81	3000	ins	0.00 1300			1
82	0	rap	0.00 1184			1
82	0	fus	0.00 1224			1
82	0	ins	0.00 1124			1
83	17000	fus	0.00 1552	1		
83	17000	rap	0.00 1360	1		
83	17000	ins	0.21 1404			1
84	42000	rap	0.00 1612		1	
84	42000	fus	0.00 1948	1		
84	42000	ins	1.27 1532			1
85	59000	rap	0.01 1748		1	
85	59000	fus	0.00 2204		1	
85	59000	ins	2.48 1688			1
86	41000	rap	0.00 1576	1		
86	41000	fus	0.01 1828	1		
86	41000	ins	1.20 1556			1
87	52000	rap	0.00 1668		1	
87	52000	fus	0.00 2088		1	
87	52000	ins	1.94 1640			1
88	4000	fus	0.00 1328	1		
88	4000	rap	0.00 1208	1		
88	4000	ins	0.01 1224			1
89	55000	rap	0.01 1700		1	
89	55000	fus	0.01 2116	1		
89	55000	ins	2.16 1708			1
90	45000	rap	0.00 1628		1	
90	45000	fus	0.01 1960	1		
90	45000	ins	1.46 1628			1
91	52000	rap	0.01 1680		1	
91	52000	fus	0.01 2128		1	
91	52000	ins	1.94 1684			1
92	54000	rap	0.01 1648		1	
92	54000	fus	0.01 2084	1		
92	54000	ins	2.09 1600			1
93	58000	fus	0.01 2188	1		
93	58000	rap	0.01 1740		1	
93	58000	ins	2.40 1640			1
